x,y,z,ts
-1.560128,-2.2087831,-0.7863474,1543333358021
-2.4278142,-1.8348417,-1.1833739,1543333358052
-1.5149714,0.6923399,-0.35569304,1543333358081
-0.6204288,1.0439787,-0.06363034,1543333358111
0.14189467,1.2720385,-0.3149098,1543333358142
0.46493727,1.401145,-0.4229733,1543333358200
0.2773193,0.80398846,-0.30585,1543333358231
-0.075137496,0.8915386,-0.052464142,1543333358259
-0.43779826,0.88202095,0.115550324,1543333358289
-0.83881426,1.0938044,0.7333235,1543333358318
-0.81442237,1.6619787,1.1452609,1543333358348
-0.6085968,0.8086748,0.9573722,1543333358414
-0.6509626,0.16380692,1.0479398,1543333358438
-0.7814915,0.530056,1.7187101,1543333358467
-0.9406748,-0.15089989,1.7070106,1543333358497
-1.0684438,-0.68160915,1.6351197,1543333358604
-1.3008757,-0.664134,1.745269,1543333358604
-1.8120041,-0.23224735,1.8580925,1543333358604
-0.81080246,-0.42136192,1.1422217,1543333358647
0.27096033,-3.057126,-1.431107,1543333358676
-1.8636327,-5.1795397,-3.364816,1543333358704
-2.2506013,-1.4035645,-0.9929575,1543333358735
-0.7926431,0.76963425,-1.104811,1543333358768
0.82470894,0.1893425,-2.9768581,1543333358795
0.6942687,0.65138435,-3.1460352,1543333358852
-0.4478855,1.3848295,-1.9895258,1543333358883
-0.99425745,1.6995783,-0.33126414,1543333358922
-1.0377779,1.3856106,0.33733892,1543333358946
-0.44419336,1.2538834,0.37819362,1543333358971
0.34026098,1.6211023,-0.2630688,1543333359001
0.30026293,2.0366945,-0.45544255,1543333359060
0.36823034,1.091341,-0.056856036,1543333359090
0.43423843,0.8034115,0.9049535,1543333359119
0.6630082,0.96235466,1.6379877,1543333359150
1.0087924,0.6005907,1.2881433,1543333359179
0.9050045,0.97565556,1.2242708,1543333359209
0.73307943,1.0378971,0.7176093,1543333359269
1.0566168,0.6342058,-0.10626495,1543333359298
1.0397425,0.2050476,0.47799504,1543333359327
1.761672,0.10574341,1.0926608,1543333359359
0.6336694,-3.23042,-1.4051489,1543333359387
-0.9643483,-2.8212957,-0.5204741,1543333359416
-2.0261574,-1.4663124,0.06013298,1543333359449
-2.5259175,-1.3188028,-1.4015477,1543333359505
-2.6739426,-0.60299015,-1.3288941,1543333359537
-2.1167378,-0.55107117,-1.2692378,1543333359570
-1.1578703,0.0731926,-1.0719411,1543333359595
-0.4082203,2.4825506,0.48293972,1543333359624
-0.15798092,2.3089542,1.0932963,1543333359654
-0.37710142,1.2573748,0.45158386,1543333359713
-0.41137028,1.8992491,0.73292625,1543333359752
-0.53933287,1.8411598,1.368256,1543333359779
-0.6315582,-0.33617687,0.08579445,1543333359803
-0.061816216,0.027702332,1.0653665,1543333359832
0.16831326,0.15369606,1.4171191,1543333359862
0.3291986,-2.877183,-0.7900059,1543333359926
0.48722553,-1.1671772,0.09467065,1543333359954
0.94910765,0.5340271,1.1641071,1543333359980
1.433567,-1.4123449,0.30403966,1543333360010
-0.49647713,-3.2520494,0.031623423,1543333360040
-1.9655762,-2.9268236,-0.5834027,1543333360069
-2.1922698,-0.12833786,0.8183975,1543333360129
-2.4567344,-1.2749376,-0.9439417,1543333360158
-3.5733266,-1.7005224,-1.0512732,1543333360196
-3.760413,-1.0551014,-0.35723987,1543333360218
-2.9045484,-0.46651077,-1.0514804,1543333360250
-1.995249,0.7879877,-0.55720645,1543333360280
-1.0552138,1.7281351,-2.1058173,1543333360307
-0.809376,1.5181761,-1.7073904,1543333360369
-0.6758069,0.7258997,-1.9807156,1543333360397
-0.34865773,1.5118895,-1.6625202,1543333360432
-0.67719275,-0.028691292,-2.6634269,1543333360456
-0.10251906,-0.79499435,-1.9632002,1543333360485
-0.2092326,-0.7488575,-1.4506131,1543333360514
0.06978193,-1.2234049,-1.9813867,1543333360574
0.697414,-1.7456207,-1.458969,1543333360605
0.07277495,-1.2982454,-1.2017947,1543333360635
0.9801137,-0.47531796,-0.38153005,1543333360664
1.0907196,-1.0654144,-0.2535267,1543333360692
0.89068985,0.25432396,0.29721463,1543333360723
0.92634606,1.7367792,0.934263,1543333360791
0.50023854,2.6185427,1.3268173,1543333360812
0.653929,0.6644392,0.63786745,1543333360850
0.9319143,1.4634609,0.750612,1543333360871
1.1731014,1.8213272,1.1777239,1543333360901
1.2766271,1.9038734,0.90895796,1543333360933
1.1993446,-0.054234505,1.7024307,1543333360989
0.7443433,-0.49490643,0.87755084,1543333361019
0.044430017,-0.9584465,2.106057,1543333361051
-1.3748627,-2.527793,1.5130718,1543333361079
-1.4857769,-3.3793945,-0.43080735,1543333361108
-0.6834378,-1.4175587,0.44704676,1543333361143
-0.32815027,-0.22410393,-1.204082,1543333361172
-0.04365921,0.6096659,-1.5889883,1543333361227
-0.10207653,0.48746872,0.2248838,1543333361259
1.45824,-1.2747035,-3.3666837,1543333361287
-0.41136312,7.4972467,5.5824213,1543333361317
-0.9559574,0.49685574,3.571856,1543333361347
-1.9618874,-6.2964854,-0.40039635,1543333361381
-1.3499374,-3.917029,1.5839739,1543333361437
-0.50394297,-0.5694938,2.8736498,1543333361466
0.5171099,-0.00010538101,1.1941586,1543333361494
1.1826653,-0.32344055,0.14233041,1543333361524
1.4809389,-2.0169754,-2.2147477,1543333361554
1.3923316,-1.9015455,-3.036036,1543333361590
1.2323294,0.19783592,-0.16446388,1543333361650
1.3256459,1.9765015,-0.30637157,1543333361683
0.59430647,1.7832117,0.42046165,1543333361704
-0.895926,0.5845747,3.1217873,1543333361733
-1.159637,0.6083574,2.3534899,1543333361763
-2.3819919,0.43315125,2.1677125,1543333361790
-2.9018056,0.5808363,3.7512646,1543333361851
-1.3828211,0.39537907,2.9720135,1543333361880
-0.03186035,0.4157114,1.4491725,1543333361910
0.35835266,1.7110453,1.440769,1543333361940
-0.5284462,1.0986271,-0.12820321,1543333361969
-1.6145735,0.58578014,0.3564254,1543333362000
-2.4405823,0.61018944,1.3532196,1543333362029
-2.384303,-0.44305706,0.59181297,1543333362089
-1.4729946,-0.11930275,1.4510481,1543333362117
-1.5562878,0.3974018,0.37166047,1543333362148
-1.8145876,1.0832825,0.71987295,1543333362176
-2.1581984,1.5875225,0.65113723,1543333362206
-2.5726943,1.1911163,0.5629158,1543333362235
-2.732263,1.4497681,0.36943197,1543333362295
-2.23781,2.0277433,1.2228022,1543333362325
-1.6317087,2.4865427,0.3215556,1543333362354
-2.1974096,2.5385208,-0.48699236,1543333362384
-2.664504,2.6402884,-0.3988297,1543333362414
-2.5426946,3.593772,-1.7844996,1543333362445
-1.9200368,3.046732,-4.445961,1543333362506
-1.4090242,1.3742371,-4.6015263,1543333362540
0.05707264,1.3504944,-4.597614,1543333362564
1.2260256,-2.2837815,-4.822069,1543333362594
1.0900006,-2.6716113,-3.0089707,1543333362623
0.9166918,-3.4827657,-2.8281453,1543333362651
0.48885822,-1.5039358,-0.6131059,1543333362710
0.60221004,-0.45308876,-0.5481974,1543333362752
-0.21059132,0.04614067,0.25069523,1543333362770
0.5807862,1.9458318,-1.0415317,1543333362801
-0.17563152,0.7924576,-2.006203,1543333362829
0.8134575,2.7361584,-2.2945569,1543333362863
0.13408756,2.7300043,-2.7368598,1543333362888
-0.5948639,3.4991856,-3.0976987,1543333362949
-2.656064,3.0890145,-2.280198,1543333362980
-3.8144884,1.8557467,-0.6837681,1543333363007
-4.187193,2.1144123,0.30864272,1543333363037
-4.0561447,1.4576929,2.1053243,1543333363067
-3.5431156,0.42424536,3.5443316,1543333363098
-2.4994535,-0.08976567,3.948857,1543333363156
