value,ts
993.6405,1543333358028
993.6405,1543333358062
993.6405,1543333358096
993.6134,1543333358130
993.60114,1543333358165
993.6101,1543333358201
993.7042,1543333358235
993.7455,1543333358270
993.8157,1543333358302
993.7964,1543333358337
993.75366,1543333358371
993.8439,1543333358414
993.6391,1543333358440
993.6822,1543333358477
993.7551,1543333358511
993.48083,1543333358548
993.60455,1543333358578
993.71924,1543333358614
993.6837,1543333358649
993.68475,1543333358682
993.7277,1543333358717
993.7632,1543333358755
993.7537,1543333358785
993.7288,1543333358823
993.4608,1543333358856
993.6667,1543333358889
993.75146,1543333358923
993.855,1543333358957
993.85297,1543333358992
993.80615,1543333359032
993.1379,1543333359062
993.38245,1543333359095
993.37476,1543333359141
992.95605,1543333359166
993.2503,1543333359199
993.4158,1543333359233
993.12634,1543333359270
993.0153,1543333359302
993.36804,1543333359339
993.58386,1543333359372
993.66425,1543333359405
993.99963,1543333359440
994.0952,1543333359478
993.2726,1543333359508
993.577,1543333359550
993.85986,1543333359576
993.7428,1543333359612
993.6471,1543333359646
993.6057,1543333359703
993.5839,1543333359715
993.50354,1543333359755
993.4879,1543333359784
993.4271,1543333359829
993.3647,1543333359853
993.33374,1543333359891
992.93713,1543333359926
993.1588,1543333359958
992.7655,1543333359991
992.6161,1543333360025
992.9944,1543333360060
993.0966,1543333360100
993.0403,1543333360131
993.04175,1543333360171
992.7428,1543333360200
993.0119,1543333360231
993.19434,1543333360275
993.2484,1543333360302
992.8409,1543333360336
993.2279,1543333360373
993.5611,1543333360409
993.62665,1543333360449
993.13007,1543333360475
992.7337,1543333360508
993.3506,1543333360545
993.693,1543333360577
992.85095,1543333360615
993.2812,1543333360645
993.9151,1543333360680
994.1218,1543333360714
994.2086,1543333360756
992.2941,1543333360791
993.3109,1543333360818
993.5775,1543333360853
994.055,1543333360885
994.3162,1543333360921
988.27686,1543333360956
991.37427,1543333360993
993.9671,1543333361024
993.7217,1543333361060
993.63214,1543333361093
993.6752,1543333361144
993.7107,1543333361163
993.8366,1543333361199
992.79803,1543333361233
993.6626,1543333361269
994.2743,1543333361300
994.45197,1543333361337
995.0007,1543333361370
995.4555,1543333361404
995.1633,1543333361440
995.01196,1543333361477
994.723,1543333361507
994.27496,1543333361623
994.2389,1543333361623
994.0883,1543333361623
993.8442,1543333361647
993.80396,1543333361689
993.8655,1543333361714
993.7914,1543333361750
993.6935,1543333361784
993.4688,1543333361820
993.2125,1543333361857
993.1779,1543333361887
993.1403,1543333361920
992.77344,1543333361955
992.9769,1543333361989
992.9888,1543333362024
992.8827,1543333362059
992.99225,1543333362093
993.0856,1543333362128
992.9411,1543333362162
993.12244,1543333362198
993.2942,1543333362230
993.3886,1543333362266
993.5708,1543333362302
993.61633,1543333362338
993.6773,1543333362368
993.4126,1543333362403
993.6807,1543333362439
994.05615,1543333362473
994.0226,1543333362512
993.8289,1543333362544
993.76263,1543333362575
993.54626,1543333362609
993.3626,1543333362644
992.8353,1543333362685
993.1945,1543333362712
993.5321,1543333362753
993.6836,1543333362782
993.7635,1543333362816
993.69574,1543333362851
993.66675,1543333362885
993.66675,1543333362920
993.9648,1543333362954
994.2509,1543333362989
992.1304,1543333363023
993.5984,1543333363057
994.60895,1543333363103
994.42285,1543333363127
994.38025,1543333363161
993.0168,1543333363196
993.8993,1543333363238
994.63293,1543333363264
994.53455,1543333363299
994.39526,1543333363333
993.12006,1543333363372
993.9524,1543333363408
994.0646,1543333363436
993.2797,1543333363471
993.3533,1543333363503
992.77216,1543333363544
993.13245,1543333363575
993.44366,1543333363611
993.3658,1543333363643
992.7759,1543333363678
993.07556,1543333363712
993.1561,1543333363753
993.1091,1543333363781
993.11487,1543333363815
993.0845,1543333363850
993.1213,1543333363886
993.14185,1543333363920
992.3056,1543333363954
992.8129,1543333363988
993.49066,1543333364022
993.8341,1543333364057
994.0581,1543333364091
994.23914,1543333364125
994.3157,1543333364158
994.166,1543333364194
994.0277,1543333364229
993.849,1543333364265
991.0295,1543333364302
992.28076,1543333364333
993.45184,1543333364367
993.3626,1543333364404
992.6874,1543333364435
992.92816,1543333364473
993.27295,1543333364505
993.4343,1543333364540
993.49615,1543333364573
993.5138,1543333364610
993.6562,1543333364642
993.81006,1543333364680
993.8804,1543333364712
993.96136,1543333364745
994.11224,1543333364780
994.18445,1543333364813
994.3115,1543333364850
994.36224,1543333364889
993.27325,1543333364919
992.6957,1543333364952
993.0747,1543333364987
993.4549,1543333365021
994.3998,1543333365058
995.1873,1543333365099
995.4543,1543333365124
995.6571,1543333365159
994.98773,1543333365194
993.3786,1543333365228
994.35266,1543333365268
993.0752,1543333365297
993.9039,1543333365332
994.64014,1543333365367
995.8295,1543333365400
995.30585,1543333365435
994.8524,1543333365473
994.7583,1543333365504
994.49316,1543333365542
989.41754,1543333365575
991.0776,1543333365607
993.3543,1543333365641
993.25665,1543333365680
993.16986,1543333365712
993.2212,1543333365749
993.3837,1543333365779
993.47974,1543333365814
993.424,1543333365858
992.4882,1543333365888
992.7627,1543333365917
993.2221,1543333365951
993.2108,1543333365986
992.6633,1543333366029
992.4381,1543333366055
992.672,1543333366089
992.8308,1543333366123
992.7798,1543333366158
992.1963,1543333366194
992.4651,1543333366227
992.8392,1543333366265
993.2712,1543333366296
993.8578,1543333366331
994.43024,1543333366366
994.5822,1543333366401
995.5489,1543333366436
995.97473,1543333366469
996.34607,1543333366504
996.8291,1543333366540
997.1796,1543333366571
997.30005,1543333366610
997.4345,1543333366643
997.59766,1543333366675
997.8502,1543333366710
998.224,1543333366748
998.2985,1543333366778
998.0051,1543333366813
997.65814,1543333366847
997.40643,1543333366882
997.2057,1543333366916
997.11084,1543333366956
996.9445,1543333366985
996.53827,1543333367021
995.8875,1543333367054
995.0736,1543333367089
993.44763,1543333367123
992.61975,1543333367158
991.32697,1543333367211
991.1854,1543333367226
991.3263,1543333367262
991.08203,1543333367298
988.4655,1543333367331
990.0526,1543333367364
991.3496,1543333367400
990.864,1543333367431
990.67474,1543333367469
990.74475,1543333367518
990.9692,1543333367536
990.7306,1543333367571
990.68,1543333367610
991.25415,1543333367640
991.3844,1543333367680
991.7921,1543333367719
992.124,1543333367744
992.0093,1543333367792
991.94763,1543333367815
992.081,1543333367846
992.27106,1543333367881
992.0121,1543333367922
992.0315,1543333367950
