sensor_id,sensor_status,ts,subject_id
R5,"ON",1544693439733,"207"
R5,"OFF",1544693443996,"207"
R7,"ON",1544693447080,"207"
R7,"OFF",1544693453583,"207"
R7,"ON",1544693456992,"207"
R7,"OFF",1544693462203,"207"
E1,"ON",1544693467611,"207"
E2,"ON",1544693479773,"201"
P3,"ON",1544693487000,"201"
E1,"OFF",1544693498617,"207"
R2,"ON",1544693521000,"207"
R2,"OFF",1544693525000,"207"
R1,"ON",1544693539857,"207"
R1,"OFF",1544693546134,"207"
P3,"OFF",1544693549000,"201"
P1,"ON",1544693551618,"207"
E2,"OFF",1544693557773,"201"
R1,"ON",1544693565662,"201"
R1,"OFF",1544693571818,"201"
R2,"ON",1544693578000,"201"
R2,"OFF",1544693581000,"201"
R7,"ON",1544693591473,"201"
R7,"OFF",1544693595619,"201"
P1,"OFF",1544693628326,"207"
R7,"ON",1544693646069,"201"
R7,"OFF",1544693648475,"201"
R1,"ON",1544693654080,"207"
R1,"OFF",1544693659321,"207"
P2,"ON",1544693733000,"207"
P2,"OFF",1544693904000,"207"
