ts_start,ts_end,location
1544693431526,1544693449914,OUT
1544693449952,1544693467960,HALL
1544693468371,1544693469244,MEDICINE_AREA
1544693469264,1544693558042,LIVING_ROOM
1544693558105,1544693559878,MEDICINE_AREA
1544693559894,1544693561243,HALL
1544693561273,1544693655282,KITCHEN
1544693655299,1544693659545,HALL
1544693659553,1544693672540,MEDICINE_AREA
1544693672564,1544693689097,HALL
1544693689106,1544693695321,MEDICINE_AREA
1544693695331,1544693697679,LIVING_ROOM
1544693697688,1544693724546,OFFICE
1544693724585,1544693741916,LIVING_ROOM
1544693741945,1544693783415,MEDICINE_AREA
1544693783436,1544693820672,HALL
1544693820679,1544693882759,OUT
1544693882777,1544693898118,HALL
1544693898135,1544693903995,MEDICINE_AREA
