ts_start,ts_end,act
1544693431351,1544693438305,TRANSITION
1544693438310,1544693441782,COOKING
1544693435421,1544693438304,TRANSITION
1544693438345,1544693441783,COOKING
1544693435422,1544693438305,TRANSITION
1544693438345,1544693441783,COOKING
1544693435420,1544693438304,TRANSITION
1544693438345,1544693441787,COOKING
1544693435446,1544693438272,TRANSITION
1544693438310,1544693502667,COOKING
1544693502690,1544693505260,TRANSITION
1544693498819,1544693502653,COOKING
1544693502691,1544693505260,TRANSITION
1544693498818,1544693502653,COOKING
1544693502690,1544693505261,TRANSITION
1544693498820,1544693502655,COOKING
1544693502691,1544693505287,TRANSITION
1544693498811,1544693502667,COOKING
1544693502702,1544693508325,TRANSITION
1544693508353,1544693511662,SETTING_UP_TABLE
1544693505299,1544693508324,TRANSITION
1544693508362,1544693511662,SETTING_UP_TABLE
1544693505300,1544693508324,TRANSITION
1544693508362,1544693511663,SETTING_UP_TABLE
1544693505300,1544693508325,TRANSITION
1544693508362,1544693511664,SETTING_UP_TABLE
1544693505320,1544693508319,TRANSITION
1544693508353,1544693554216,SETTING_UP_TABLE
1544693554245,1544693556691,TRANSITION
1544693556723,1544693562710,EATING
1544693556249,1544693556684,TRANSITION
1544693556723,1544693562750,EATING
1544693556249,1544693556684,TRANSITION
1544693556724,1544693562751,EATING
1544693556250,1544693556684,TRANSITION
1544693556725,1544693562757,EATING
1544693556246,1544693556691,TRANSITION
1544693556726,1544693628906,EATING
1544693628943,1544693630017,TRANSITION
1544693630053,1544693632975,CLEARING_TABLE
1544693626161,1544693628905,EATING
1544693628951,1544693630016,TRANSITION
1544693630053,1544693632975,CLEARING_TABLE
1544693626159,1544693628905,EATING
1544693628952,1544693630016,TRANSITION
1544693630054,1544693632976,CLEARING_TABLE
1544693626151,1544693628906,EATING
1544693628943,1544693630017,TRANSITION
1544693630054,1544693632977,CLEARING_TABLE
1544693626160,1544693628905,EATING
1544693628953,1544693630016,TRANSITION
1544693630054,1544693663089,CLEARING_TABLE
1544693663115,1544693664362,TRANSITION
1544693664401,1544693664947,WASHING_DISHES
1544693658646,1544693663089,CLEARING_TABLE
1544693663121,1544693664362,TRANSITION
1544693664403,1544693664954,WASHING_DISHES
1544693658651,1544693663059,CLEARING_TABLE
1544693663119,1544693664361,TRANSITION
1544693664401,1544693664955,WASHING_DISHES
1544693658653,1544693663059,CLEARING_TABLE
1544693663115,1544693664360,TRANSITION
1544693664401,1544693664956,WASHING_DISHES
1544693658653,1544693663062,CLEARING_TABLE
1544693663120,1544693664360,TRANSITION
1544693664403,1544693717564,WASHING_DISHES
1544693717594,1544693732892,TRANSITION
1544693732906,1544693824126,USING_PC
1544693824141,1544693825861,TRANSITION
1544693825883,1544693901725,ANSWERING_PHONE
1544693901755,1544693904000,TRANSITION
