x,y,z,ts
-21.098328,-3.5049438,-13.580322,1542884777835
-21.437073,-5.5908203,-13.9328,1542884777890
-22.935486,-7.978821,-10.092163,1542884777921
-21.53778,-5.0598145,-7.2540283,1542884777952
-20.143127,-5.218506,-11.540222,1542884777978
-20.031738,-5.6777954,-11.700439,1542884778008
-17.829895,-9.562683,-7.484436,1542884778037
-19.937134,-9.14917,-10.739136,1542884778101
-21.211243,-9.700012,-14.160156,1542884778128
-20.26062,-11.453247,-11.11908,1542884778174
-19.64569,-11.909485,-7.7713013,1542884778188
-22.419739,-13.383484,-8.520508,1542884778215
-20.497131,-12.974548,-10.708618,1542884778244
-20.753479,-10.865784,-12.957764,1542884778276
-21.84906,-10.307312,-10.783386,1542884778337
-19.796753,-13.458252,-9.202576,1542884778365
-21.73462,-15.289307,-4.0237427,1542884778398
-22.64862,-14.508057,-5.819702,1542884778422
-19.561768,-17.114258,-6.867981,1542884778456
-20.088196,-17.63916,-6.5811157,1542884778483
-22.288513,-16.792297,-8.584595,1542884778541
-22.576904,-17.182922,-1.3977051,1542884778582
-24.684143,-11.799622,0.99487305,1542884778601
-23.425293,-9.619141,-4.5410156,1542884778631
-24.638367,-10.617065,-6.7474365,1542884778661
-26.84784,-11.81488,-3.591919,1542884778695
-22.486877,-7.751465,-4.2388916,1542884778750
-20.411682,-10.984802,-1.373291,1542884778787
-26.817322,-6.491089,-4.0664673,1542884778814
-25.038147,-8.847046,-7.6049805,1542884778839
-24.980164,-8.456421,-7.244873,1542884778869
-24.989319,-6.555176,-2.861023,1542884778897
-26.19629,-10.089111,-7.2784424,1542884778963
-24.795532,-7.9849243,-3.0548096,1542884778990
-27.738953,-12.333679,-4.675293,1542884779017
-29.458618,-9.529114,-2.1453857,1542884779047
-24.331665,-13.42926,-8.934021,1542884779075
-25.434875,-11.994934,-10.263062,1542884779119
-26.60675,-12.1536255,-9.370422,1542884779166
-25.584412,-14.047241,-9.210205,1542884779205
-27.720642,-13.812256,-8.441162,1542884779230
-28.82843,-15.67688,-6.7337036,1542884779257
-26.78833,-14.302063,-10.049438,1542884779285
-25.680542,-14.762878,-8.705139,1542884779316
-25.361633,-13.993835,-8.695984,1542884779348
-27.079773,-14.146423,-9.817505,1542884779405
-26.495361,-14.18457,-7.182312,1542884779436
-24.873352,-12.664795,-6.227112,1542884779466
-28.43628,-16.783142,-7.0892334,1542884779495
-29.09851,-17.462158,-7.5897217,1542884779523
-27.42157,-16.111755,-9.27887,1542884779552
-27.88086,-17.584229,-9.745789,1542884779612
-29.992676,-17.630005,-7.78656,1542884779639
-31.918335,-18.598938,-3.1661987,1542884779674
-28.086853,-16.998291,-4.374695,1542884779698
-30.014038,-18.798828,-3.3370972,1542884779730
-28.178406,-19.648743,-6.6192627,1542884779758
-28.553772,-20.239258,-7.5683594,1542884779819
-29.856873,-16.905212,-6.555176,1542884779849
-30.056763,-16.195679,-4.1793823,1542884779877
-30.464172,-13.316345,-2.09198,1542884779907
-30.929565,-15.330505,-7.4432373,1542884779936
-30.752563,-14.193726,-6.680298,1542884779966
-31.169128,-10.380554,-5.519104,1542884780024
-30.162048,-13.119507,-3.5217285,1542884780054
-29.394531,-13.876343,2.2338867,1542884780088
-29.87976,-6.6833496,0.7736206,1542884780123
-30.879211,-6.0791016,-2.2384644,1542884780143
-30.355835,-9.977722,-5.101013,1542884780174
-31.774902,-11.203003,-5.834961,1542884780202
-31.498718,-11.535645,-4.949951,1542884780263
-32.36084,-15.031433,-0.8331299,1542884780293
-32.572937,-19.570923,-5.5770874,1542884780324
-31.666565,-19.63501,-7.847595,1542884780362
-26.824951,-21.000671,-6.8099976,1542884780384
-28.89862,-19.836426,-8.77533,1542884780412
-31.332397,-15.643311,-6.8344116,1542884780552
-28.201294,-19.42749,-11.010742,1542884780552
-28.39508,-18.017578,-12.237549,1542884780552
-28.482056,-17.753601,-12.721252,1542884780560
-27.883911,-16.4505,-13.514709,1542884780588
-27.36206,-11.488342,-9.7213745,1542884780619
-27.810669,-17.210388,-12.135315,1542884780711
-27.60315,-15.725708,-12.957764,1542884780711
-27.545166,-15.458679,-13.349915,1542884780738
-29.241943,-13.484192,-12.998962,1542884780766
-27.972412,-13.092041,-12.481689,1542884780796
-30.073547,-11.743164,-10.987854,1542884780826
-28.962708,-14.112854,-12.298584,1542884780887
-28.62854,-14.944458,-12.272644,1542884780915
-28.356934,-14.250183,-10.159302,1542884780946
-28.04718,-15.205383,-9.829712,1542884780976
-27.194214,-15.492249,-8.932495,1542884781013
-26.638794,-14.624023,-9.402466,1542884781033
-26.605225,-11.508179,-10.85968,1542884781096
-29.237366,-9.541321,-9.449768,1542884781129
-36.172485,-11.413574,-2.430725,1542884781155
-28.053284,-3.250122,-7.53479,1542884781186
-28.269958,-2.3666382,-7.522583,1542884781212
-28.962708,-3.3218384,-8.169556,1542884781246
-27.48413,-3.5324097,-9.080505,1542884781271
-27.156067,-0.81329346,-11.172485,1542884781334
-26.00708,-0.33721924,-10.688782,1542884781368
-27.108765,1.4312744,-10.987854,1542884781391
-27.391052,3.5842896,-9.379578,1542884781422
-24.803162,5.067444,-7.850647,1542884781455
-25.857544,3.3843994,-12.025452,1542884781484
-26.356506,-0.3250122,-8.813477,1542884781541
-21.3974,1.9699097,-7.9040527,1542884781571
-26.260376,2.445984,-13.304138,1542884781599
-25.990295,2.6367188,-13.015747,1542884781628
-25.527954,3.3294678,-12.322998,1542884781657
-26.861572,3.7094116,-11.860657,1542884781684
-23.277283,2.6809692,-3.3370972,1542884781747
-25.106812,5.0949097,-3.6392212,1542884781775
-29.138184,5.4489136,-9.87854,1542884781804
-26.339722,2.5756836,-10.185242,1542884781834
-23.54126,4.954529,-12.120056,1542884781885
-25.357056,6.764221,-15.002441,1542884781893
-24.778748,7.2280884,-14.981079,1542884781958
-23.703003,8.042908,-16.235352,1542884781987
-23.814392,6.9488525,-17.681885,1542884782013
-24.053955,6.7367554,-17.190552,1542884782042
-22.621155,7.524109,-18.130493,1542884782077
-21.080017,8.531189,-20.385742,1542884782106
-20.465088,7.7560425,-21.136475,1542884782131
-20.132446,7.382202,-22.0932,1542884782191
-19.519043,8.6380005,-21.728516,1542884782223
-20.298767,8.517456,-21.191406,1542884782251
-20.568848,8.096313,-21.305847,1542884782280
-18.10608,9.275818,-21.792603,1542884782308
