ts_start,ts_end,location
1543848379111,1543848381948,MEDICINE_AREA
1543848381957,1543848383305,HALL
1543848383316,1543848387560,KITCHEN
1543848387568,1543848415086,DINING_ROOM
1543848415099,1543848419552,KITCHEN
1543848419570,1543848423727,DINING_ROOM
1543848423750,1543848428955,KITCHEN
1543848429028,1543848436926,DINING_ROOM
1543848436942,1543848443161,KITCHEN
1543848443162,1543848447254,DINING_ROOM
1543848447290,1543848464774,KITCHEN
1543848464791,1543848472257,DINING_ROOM
1543848472263,1543848477321,KITCHEN
1543848477327,1543848632498,DINING_ROOM
1543848632512,1543848634240,KITCHEN
1543848634249,1543848635432,HALL
1543848635451,1543848636891,MEDICINE_AREA
1543848636912,1543848734886,LIVING_ROOM
