x,y,z,ts
-31.30951,5.944824,7.067871,1543848382887
-32.035828,12.611389,7.9467773,1543848382908
-30.94635,12.904358,2.531433,1543848382945
-29.15802,11.941528,-6.881714,1543848382988
-27.81372,12.4435425,-8.721924,1543848383025
-25.730896,11.579895,-7.0770264,1543848383045
-20.794678,17.590332,-9.893799,1543848383085
-15.913391,20.144653,-9.196472,1543848383124
-12.921143,23.448181,-13.304138,1543848383162
-9.866333,25.570679,-9.980774,1543848383183
-8.206177,27.23236,-5.4092407,1543848383223
-10.73761,24.771118,-9.27887,1543848383264
-10.20813,25.78888,-16.519165,1543848383301
-13.710022,18.818665,-24.130249,1543848383321
-15.104675,17.080688,-23.674011,1543848383361
-16.799927,14.442444,-23.446655,1543848383400
-17.150879,12.234497,-21.937561,1543848383439
-20.103455,10.049438,-17.817688,1543848383457
-19.943237,11.799622,-24.409485,1543848383499
-19.499207,13.368225,-24.028015,1543848383539
-21.452332,16.149902,-18.75,1543848383577
-22.338867,15.174866,-15.966797,1543848383597
-19.888306,17.507935,-8.627319,1543848383641
-23.184204,18.377686,-10.247803,1543848383676
-24.057007,15.362549,-12.345886,1543848383716
-25.219727,16.70227,-10.580444,1543848383884
-26.126099,15.544128,-6.439209,1543848383884
-25.364685,15.614319,-5.1116943,1543848383884
-25.40741,17.697144,-5.606079,1543848383884
-22.566223,20.532227,-5.895996,1543848383884
-20.095825,18.878174,-4.350281,1543848383914
-17.929077,14.66217,-1.5625,1543848383953
-18.981934,21.76056,-5.6777954,1543848383992
-16.345215,22.24884,-3.3660889,1543848384013
-16.7099,17.051697,-5.870056,1543848384051
-16.557312,15.846252,-7.1731567,1543848384090
-16.01715,23.927307,-12.194824,1543848384129
-16.506958,20.67871,-12.231445,1543848384150
-17.080688,19.62738,-12.399292,1543848384194
-19.110107,22.88971,-10.8810425,1543848384229
-20.230103,20.785522,-11.421204,1543848384269
-20.770264,19.192505,-10.629272,1543848384288
-22.984314,21.218872,-7.8796387,1543848384329
-23.002625,17.453003,-9.60083,1543848384366
-24.685669,13.659668,-3.7490845,1543848384386
-26.51062,16.467285,-5.0338745,1543848384431
-26.44043,13.475037,-8.396912,1543848384466
-27.978516,14.317322,-5.747986,1543848384503
-26.412964,9.20105,-1.789856,1543848384524
-27.70691,11.11908,-6.5322876,1543848384563
-28.80249,11.782837,-4.420471,1543848384603
-27.041626,13.020325,2.7908325,1543848384643
-26.309204,15.226746,2.5680542,1543848384661
-28.83606,18.09845,-2.430725,1543848384702
-29.58374,17.6651,-3.2836914,1543848384745
-30.300903,19.17572,-2.1743774,1543848384779
-25.982666,14.389038,-6.1523438,1543848384799
-25.167847,15.653992,-2.1102905,1543848385023
-25.996399,13.729858,-7.559204,1543848385023
-24.598694,15.690613,-10.6033325,1543848385023
-23.513794,15.487671,-9.225464,1543848385023
-24.256897,19.404602,-4.2648315,1543848385024
-25.195312,16.191101,-7.739258,1543848385024
-26.522827,22.000122,-0.63171387,1543848385058
-24.829102,19.97528,-1.1383057,1543848385080
-20.700073,10.375977,-2.734375,1543848385115
-25.144958,22.11914,-3.0654907,1543848385157
-26.390076,27.61383,-0.91400146,1543848385195
-22.43042,15.548706,-14.926147,1543848385217
-23.59314,14.282227,-13.433838,1543848385256
-21.928406,19.799805,-9.931946,1543848385293
-22.297668,18.066406,-6.4834595,1543848385331
-19.081116,16.506958,-15.835571,1543848385353
-17.819214,13.737488,-10.374451,1543848385391
-18.049622,17.024231,-12.564087,1543848385430
-16.781616,21.21582,-6.288147,1543848385470
-18.174744,22.886658,-4.9606323,1543848385489
-17.097473,22.962952,-3.982544,1543848385540
-16.600037,25.082397,-0.5218506,1543848385570
-15.377808,21.728516,2.9708862,1543848385609
-16.134644,24.394226,4.499817,1543848385630
-16.801453,23.835754,9.391785,1543848385667
-16.625977,20.515442,15.420532,1543848385714
-18.276978,20.01648,15.322876,1543848385747
-20.928955,18.449402,13.781738,1543848385765
-21.728516,17.608643,15.322876,1543848385807
-22.11914,16.48407,19.360352,1543848385845
-29.103088,11.427307,21.296692,1543848385884
-29.29535,11.973572,23.780823,1543848385905
-25.878906,16.143799,23.396301,1543848385944
-27.694702,14.891052,14.416504,1543848385987
-26.768494,18.005371,6.4712524,1543848386023
-28.312683,17.55066,7.4920654,1543848386043
-28.059387,19.18335,9.745789,1543848386083
-25.468445,17.504883,6.3949585,1543848386128
-26.010132,19.290161,6.4300537,1543848386163
-28.35083,15.583801,13.407898,1543848386182
-23.554993,19.770813,13.48877,1543848386222
-23.394775,18.263245,13.249207,1543848386260
-22.425842,16.952515,16.923523,1543848386299
-22.923279,16.755676,17.69867,1543848386321
-21.661377,17.462158,18.266296,1543848386360
-21.710205,16.12091,17.887878,1543848386400
-22.662354,17.697144,16.384888,1543848386422
-21.85669,20.46051,14.41803,1543848386458
-22.402954,21.160889,10.653687,1543848386498
-22.547913,22.338867,5.6869507,1543848386538
-20.03479,21.647644,8.602905,1543848386647
-20.239258,26.560974,5.227661,1543848386648
-21.672058,25.497437,8.868408,1543848386648
-22.895813,32.273865,7.897949,1543848386679
-17.47284,31.658936,6.6482544,1543848386693
-18.49823,25.56305,-0.6134033,1543848386732
-16.847229,23.597717,3.0303955,1543848386773
-18.867493,24.50409,4.046631,1543848386812
-20.103455,22.624207,-6.251526,1543848386830
-21.421814,22.50824,-3.9291382,1543848386871
-22.24884,22.283936,-0.6790161,1543848386912
-22.312927,18.322754,-3.489685,1543848386951
-21.435547,14.891052,-3.451538,1543848386969
-20.77179,16.662598,-11.465454,1543848387010
-22.311401,15.405273,-11.451721,1543848387054
-23.233032,14.129639,-4.953003,1543848387090
-23.547363,11.946106,-6.9244385,1543848387106
-24.511719,12.345886,-6.852722,1543848387147
-26.286316,10.861206,-9.585571,1543848387188
-25.634766,9.7717285,-13.661194,1543848387234
-24.87793,9.710693,-16.165161,1543848387246
-25.094604,10.78186,-9.886169,1543848387285
-23.832703,11.962891,-14.945984,1543848387325
-22.792053,12.773132,-8.724976,1543848387365
-22.961426,13.002014,-9.4314575,1543848387383
-24.536133,10.096741,-11.831665,1543848387427
-24.124146,12.472534,-9.680176,1543848387463
-20.137024,14.677429,-9.994507,1543848387500
-21.240234,14.381409,-12.017822,1543848387521
-19.259644,13.461304,-10.316467,1543848387563
-22.671509,14.6698,-14.775085,1543848387601
-22.94159,14.801025,-12.098694,1543848387639
-24.156189,12.826538,-14.064026,1543848387659
-26.229858,13.726807,-12.773132,1543848387700
-24.168396,11.04126,-13.983154,1543848387740
-24.331665,12.0147705,-15.44342,1543848387782
-25.294495,11.329651,-15.04364,1543848387796
-25.402832,10.783386,-15.478516,1543848387946
-27.94342,8.631897,-13.153076,1543848387946
-27.85492,7.7285767,-13.612366,1543848387946
-25.308228,9.315491,-16.34674,1543848387946
-24.523926,9.60083,-14.889526,1543848387975
-23.62976,9.977722,-15.817261,1543848388016
-23.564148,10.444641,-16.888428,1543848388052
-24.319458,13.502502,-9.344482,1543848388073
-22.53418,16.007996,-9.42688,1543848388114
-24.562073,15.264893,-9.107971,1543848388154
-25.436401,23.744202,-5.0216675,1543848388193
-23.674011,24.014282,-4.1503906,1543848388213
-19.309998,21.96045,-2.7435303,1543848388250
-20.117188,24.80011,-0.5630493,1543848388290
-17.887878,25.172424,-0.1373291,1543848388310
-18.997192,23.490906,-4.122925,1543848388354
-18.569946,23.556519,-5.3390503,1543848388388
-21.704102,22.077942,-4.849243,1543848388429
-23.266602,19.476318,-4.5440674,1543848388472
-21.133423,16.14685,-6.904602,1543848388487
-19.16504,20.126343,-8.068848,1543848388528
-18.927002,21.496582,-8.81958,1543848388566
-15.72113,23.303223,0.38909912,1543848388586
-15.356445,23.84491,8.251953,1543848388626
-16.400146,21.192932,17.306519,1543848388665
-15.988159,18.981934,19.619751,1543848388705
-17.546082,19.055176,18.69812,1543848388724
-17.871094,22.21222,23.674011,1543848388763
-14.501953,21.920776,21.020508,1543848388803
-18.057251,21.037292,16.551208,1543848388842
-17.892456,21.255493,15.907288,1543848388864
-17.105103,23.738098,15.823364,1543848388904
-18.661499,28.115845,18.218994,1543848388941
-17.256165,24.172974,13.316345,1543848388981
-16.012573,24.92218,10.124207,1543848389002
-16.95404,27.98767,10.630798,1543848389040
-15.382385,27.555847,16.171265,1543848389081
-14.865112,26.403809,10.432434,1543848389123
-14.135742,26.193237,6.1416626,1543848389208
-14.620972,26.808167,5.2001953,1543848389208
-14.135742,27.412415,3.4332275,1543848389220
-13.600159,26.84021,1.4007568,1543848389259
-13.6657715,25.793457,0.4333496,1543848389275
-15.1779175,25.068665,-0.7720947,1543848389316
-17.326355,28.58429,4.350281,1543848389357
-11.257935,22.964478,4.222107,1543848389395
-15.257263,22.019958,-0.4562378,1543848389415
-15.057373,21.217346,-0.30822754,1543848389453
-22.557068,19.493103,-3.0395508,1543848389497
-22.306824,21.069336,-3.3996582,1543848389534
-21.464539,21.626282,5.773926,1543848389551
-21.665955,18.972778,-3.8619995,1543848389591
-22.38617,17.640686,-7.5164795,1543848389635
-23.886108,14.831543,-7.739258,1543848389671
-23.143005,11.347961,-5.7724,1543848389690
-25.531006,10.847473,-3.4378052,1543848389729
-24.562073,10.739136,-6.629944,1543848389778
-25.94757,8.944702,-6.5719604,1543848389810
-27.20642,7.2799683,-14.752197,1543848389830
-26.867676,7.084656,-13.500977,1543848389867
-25.99945,7.185364,-13.098145,1543848389913
-27.276611,10.736084,-14.512634,1543848389948
-25.509644,12.924194,-13.084412,1543848389970
-23.443604,16.696167,-7.180786,1543848390006
-21.97876,14.393616,-3.8208008,1543848390047
-19.293213,15.029907,-5.947876,1543848390179
-17.858887,15.362549,-8.842468,1543848390179
-17.121887,18.733215,-14.424133,1543848390180
-16.477966,19.758606,-14.587402,1543848390185
-13.656616,18.92395,-9.608459,1543848390228
-16.313171,22.454834,-13.5269165,1543848390242
-16.044617,22.914124,-13.652039,1543848390281
-14.135742,21.305847,-14.326477,1543848390325
-13.749695,22.239685,-14.187622,1543848390364
-11.366272,25.535583,-10.455322,1543848390382
-11.328125,25.671387,-6.8740845,1543848390421
-7.575989,27.453613,-3.3233643,1543848390462
0.2883911,24.238586,4.408264,1543848390480
3.1585693,21.530151,10.224915,1543848390536
0.8590698,27.81372,0.021362305,1543848390563
2.709961,28.69873,-0.5340576,1543848390597
7.1777344,30.101013,2.671814,1543848390627
7.7835083,28.546143,5.8883667,1543848390656
6.890869,26.800537,-0.80566406,1543848390696
6.4956665,29.296875,-1.0787964,1543848390735
7.019043,26.968384,3.5964966,1543848390756
5.180359,30.970764,3.250122,1543848390794
5.581665,28.733826,0.82855225,1543848390833
4.2785645,28.68805,1.9607544,1543848390875
3.0166626,27.452087,-0.37994385,1543848390894
2.2827148,29.408264,2.7435303,1543848390932
1.9775391,32.115173,11.779785,1543848390976
2.2842407,28.942871,8.126831,1543848391012
4.6203613,27.212524,8.454895,1543848391033
3.1707764,26.51062,14.872742,1543848391070
3.3218384,25.787354,20.664978,1543848391109
3.8894653,24.850464,14.924622,1543848391149
2.659607,25.08545,12.106323,1543848391170
-2.7786255,26.612854,9.423828,1543848391208
-2.6733398,25.827026,15.362549,1543848391248
-2.3223877,20.17517,22.505188,1543848391289
-2.597046,23.631287,28.09906,1543848391306
-3.1539917,22.325134,27.462769,1543848391349
0.051879883,18.759155,23.446655,1543848391388
3.5568237,16.453552,29.156494,1543848391428
5.6427,19.726562,28.62091,1543848391444
2.8427124,24.008179,24.975586,1543848391487
-1.171875,23.976135,13.737488,1543848391526
-1.6708374,27.34375,3.4606934,1543848391564
