x,y,z,ts
0.50427645,-0.7425105,-0.39041904,1543848328849
0.46326378,-0.7425105,-0.39521274,1543848328849
0.40254372,-0.74623895,-0.40586537,1543848328850
0.30081096,-0.7382495,-0.41864854,1543848328878
0.17138131,-0.72812945,-0.43729067,1543848328878
0.04674537,-0.7110852,-0.47031388,1543848328878
-0.03474736,-0.69510627,-0.5129245,1543848328909
-0.06936846,-0.6796599,-0.55393714,1543848328910
-0.07416215,-0.6647462,-0.58163404,1543848328910
-0.06564003,-0.64237565,-0.5912214,1543848328940
-0.057650544,-0.60935247,-0.5821667,1543848328940
-0.062444236,-0.585384,-0.5629919,1543848328940
-0.07362951,-0.5608829,-0.53849083,1543848328971
-0.10026113,-0.5283924,-0.5113266,1543848328971
-0.13168643,-0.5006955,-0.48682547,1543848328971
-0.1295559,-0.47832495,-0.46605283,1543848328999
-0.08641269,-0.4458344,-0.44794333,1543848328999
-0.028355772,-0.41068065,-0.43036646,1543848328999
0.02970114,-0.38351643,-0.4079959,1543848329033
0.08083383,-0.36061323,-0.37444007,1543848329033
0.11545493,-0.33771005,-0.3302316,1543848329033
0.119183354,-0.31906793,-0.27323994,1543848329060
0.10107385,-0.3105458,-0.21891148,1543848329060
0.08669279,-0.29723,-0.17576827,1543848329060
0.07071382,-0.28604472,-0.14381033,1543848329093
0.038223255,-0.27698997,-0.118243985,1543848329093
-0.023562081,-0.26953313,-0.10066713,1543848329093
-0.0965327,-0.26367417,-0.08681869,1543848329121
-0.15672015,-0.25888047,-0.0788292,1543848329121
-0.18867807,-0.26154363,-0.07829657,1543848329121
-0.18388438,-0.2674026,-0.082025,1543848329155
-0.15725277,-0.2759247,-0.09107974,1543848329155
-0.11197904,-0.28657734,-0.10652608,1543848329156
-0.057650544,-0.29723,-0.12570083,1543848329182
-0.0027894257,-0.31267634,-0.1464735,1543848329182
0.052071694,-0.33131847,-0.16671352,1543848329182
0.09361701,-0.3451669,-0.18215986,1543848329212
0.103204384,-0.34569955,-0.18588828,1543848329212
0.080301195,-0.34143847,-0.18162723,1543848329212
0.051539063,-0.33398163,-0.17576827,1543848329253
0.024907451,-0.31906793,-0.17683353,1543848329253
-0.01823576,-0.29936054,-0.18748617,1543848329253
-0.06617267,-0.27805525,-0.20239988,1543848329276
-0.092804275,-0.25888047,-0.221042,1543848329276
-0.084814794,-0.23757517,-0.23595572,1543848329276
-0.07043372,-0.22053094,-0.23435782,1543848329304
-0.08055373,-0.20082356,-0.21571569,1543848329304
-0.10292429,-0.18111616,-0.18588828,1543848329304
-0.114642195,-0.16566983,-0.1597893,1543848329335
-0.10452218,-0.15182139,-0.14061454,1543848329335
-0.0784232,-0.13424453,-0.13155979,1543848329335
-0.064042136,-0.11506976,-0.120374516,1543848329364
-0.07149899,-0.0990908,-0.10173239,1543848329364
-0.06936846,-0.07778551,-0.0788292,1543848329364
-0.040606312,-0.053817064,-0.053795487,1543848329398
-0.0027894257,-0.029848613,-0.029294405,1543848329398
0.024374818,0.00051142555,-0.008521749,1543848329398
0.021711657,0.03513252,0.012250909,1543848329424
0.000939,0.07294941,0.03408883,1543848329424
-0.005985219,0.10970104,0.059122544,1543848329424
0.014787438,0.13526738,0.083091,1543848329454
0.065387495,0.1555074,0.10705945,1543848329455
0.13196653,0.18267165,0.1262342,1543848329455
0.19375186,0.21889064,0.13049527,1543848329484
0.23210138,0.27375174,0.12090788,1543848329484
0.23636244,0.33873287,0.10279839,1543848329484
0.20973083,0.4117035,0.083091,1543848329516
0.17191394,0.48893517,0.06711203,1543848329516
0.13143389,0.56084055,0.05965518,1543848329516
0.09308437,0.63487643,0.05805728,1543848329562
0.05580012,0.7041186,0.07030782,1543848329562
0.03183167,0.7648387,0.09108048,1543848329562
0.020646393,0.81756926,0.113451034,1543848329576
0.025972715,0.86071247,0.13528895,1543848329576
0.054202225,0.8937357,0.15020266,1543848329576
0.11438966,0.92143255,0.16671425,1543848329606
0.19801292,0.9496621,0.18908481,1543848329606
