sensor_id,sensor_status,ts,subject_id
R1,"OFF",1544018324634,"208"
R7,"ON",1544018327432,"208"
R7,"OFF",1544018331255,"208"
R7,"ON",1544018381285,"205"
R7,"OFF",1544018388170,"205"
P4,"ON",1544018400000,"205"
P2,"ON",1544018408552,"202"
P5,"ON",1544018409000,"208"
E2,"ON",1544018507686,"209"
P7,"ON",1544018513000,"209"
P4,"OFF",1544018528000,"205"
P5,"OFF",1544018532000,"208"
P8,"ON",1544018543000,"205"
P2,"OFF",1544018550112,"202"
P9,"ON",1544018551000,"208"
P3,"ON",1544018552000,"202"
P3,"OFF",1544018702000,"202"
P9,"OFF",1544018704000,"208"
P8,"OFF",1544018706000,"205"
E2,"OFF",1544018708703,"202"
P7,"OFF",1544018709000,"209"
