ts_start,ts_end,act
1544018313422,1544018394208,SETTING_UP_TABLE
1544018394236,1544018410313,TRANSITION
1544018410345,1544018434308,EATING
1544018434337,1544018440650,TRANSITION
1544018440680,1544018445986,EATING
1544018445991,1544018447749,TRANSITION
1544018447777,1544018477170,EATING
1544018477202,1544018485906,TRANSITION
1544018485938,1544018498079,EATING
1544018498111,1544018506877,TRANSITION
1544018506908,1544018521773,EATING
1544018521801,1544018525777,TRANSITION
1544018525802,1544018528284,EATING
1544018528293,1544018541309,TRANSITION
1544018541337,1544018707572,WATCHING_TV
1544018707605,1544018710682,TRANSITION
