x,y,z,ts
13.096246,-5.774583,3.4016628,1544018318431
13.480126,-5.3035674,5.391246,1544018318431
11.655371,-2.1445773,4.9961023,1544018318431
11.349931,-2.1265688,3.698102,1544018318431
13.310276,-4.9713745,2.466488,1544018318431
14.066236,-4.436474,3.6136007,1544018318432
13.168344,-4.0973372,7.994403,1544018318434
11.081842,-5.06119,9.303938,1544018318445
8.181696,-6.5301323,9.652104,1544018318489
7.7010927,-7.2547708,8.861416,1544018318518
8.8662405,-6.5486593,8.041472,1544018318552
9.2870455,-6.176856,7.6395216,1544018318586
10.57004,-7.950545,6.447139,1544018318622
13.010096,-6.6538486,6.476018,1544018318661
12.149209,-6.4026365,8.402011,1544018318692
10.953405,-7.763111,7.8677673,1544018318730
12.118188,-6.2487,6.6791162,1544018318763
14.3145,-6.155655,7.498659,1544018318798
15.873244,-7.7173347,7.031768,1544018318833
15.873244,-7.7173347,7.031768,1544018318881
15.873244,-7.7173347,7.031768,1544018318901
15.873244,-7.7173347,7.031768,1544018318937
-1.1346551,-10.955837,5.297476,1544018318977
-2.0453396,-8.030833,4.8540545,1544018319007
-2.867725,-5.258864,4.4620667,1544018319040
-1.0569217,-2.796019,5.3634806,1544018319083
0.29282686,1.0580909,3.1648722,1544018319111
0.2449007,-0.5712259,5.765479,1544018319145
4.3215137,-12.482529,6.0143375,1544018319182
4.419483,-13.741842,4.7133007,1544018319218
2.0191808,-14.519113,3.4979372,1544018319253
1.019925,-13.287523,4.936713,1544018319288
0.6671819,-13.079851,3.774372,1544018319323
0.52014446,-13.496398,1.008276,1544018319359
1.8128055,-12.705619,0.034360886,1544018319406
1.6849929,-10.313683,0.15737724,1544018319432
2.8118403,-11.250306,1.9501638,1544018319466
3.654144,-12.2039,0.6942034,1544018319505
4.956725,-13.05832,-1.1887298,1544018319552
5.4851427,-14.505437,-9.538773,1544018319573
6.5579844,-4.046761,-5.5108366,1544018319635
5.554902,-4.595485,-8.007067,1544018319640
4.997575,-12.928651,-11.515659,1544018319675
4.0886445,-23.167757,-21.22433,1544018319710
3.3345883,-34.5079,-20.846518,1544018319745
1.3938315,-39.20317,-11.579914,1544018319780
1.5314801,-36.9009,-1.5075145,1544018319877
1.5314801,-36.9009,-1.5075145,1544018319878
1.5314801,-36.9009,-1.5075145,1544018319898
1.5314801,-36.9009,-1.5075145,1544018319927
3.766872,-12.81318,0.85539913,1544018319957
-4.543654,-2.4311824,-4.880623,1544018319988
-4.8536887,-3.6437454,-2.563634,1544018320029
-2.5443778,-5.0196133,-3.047348,1544018320062
-0.1644594,-7.321702,-2.4053907,1544018320099
3.695471,-7.554663,2.5847225,1544018320129
7.0462584,-8.47572,4.2723646,1544018320165
5.5599084,-6.0334115,9.898096,1544018320200
-0.09191341,-6.25378,10.328329,1544018320268
-4.382162,-4.872598,8.212419,1544018320278
-6.553418,-7.9632483,6.3327637,1544018320310
-5.6705565,-8.368924,9.456678,1544018320360
1.087348,-15.019467,14.482729,1544018320381
4.583387,-11.494379,15.6142845,1544018320414
2.300499,-9.295008,14.657895,1544018320451
-1.901153,-5.830158,11.538462,1544018320485
-4.8461537,-0.3773632,5.0243626,1544018320522
-7.493933,-1.3338933,3.0573425,1544018320554
-11.968001,-0.92748713,-1.9827919,1544018320608
-15.773068,1.6409712,-3.6625214,1544018320627
-18.948702,-2.9612625,-2.9246712,1544018320660
-20.403257,-1.6476331,-0.29838943,1544018320701
-19.900806,-0.23079187,6.8648815,1544018320735
-19.327034,1.6770751,10.863279,1544018320771
-17.87329,4.9893894,17.083681,1544018320814
-17.619728,6.546113,17.359539,1544018320836
-17.619728,6.546113,17.359539,1544018320887
-17.619728,6.546113,17.359539,1544018320907
-16.768892,12.469532,13.599001,1544018320943
-20.789843,2.7639904,-3.1383042,1544018320982
-20.603687,-0.51942825,-0.96648884,1544018321011
-19.937931,-6.0773187,0.61263657,1544018321049
-15.383923,-2.3491428,-0.8167887,1544018321081
-7.683558,-5.291602,6.671056,1544018321119
0.3892552,-6.4314294,11.424699,1544018321153
3.8046482,-5.7403393,9.157129,1544018321187
4.694736,-4.5600047,9.238688,1544018321223
3.5490298,-3.3924685,9.48453,1544018321258
-1.9021178,-3.328323,10.887567,1544018321295
-5.3165383,-2.7514305,11.2534685,1544018321336
-5.785257,-1.4239999,9.832729,1544018321372
-7.124535,-2.121445,8.912729,1544018321407
-8.604602,-0.66383624,9.492215,1544018321463
-7.863439,-0.23726559,12.041747,1544018321475
-5.0424457,-3.6865664,12.351003,1544018321516
-4.777071,-6.754737,11.767439,1544018321554
-4.229197,-5.21851,11.728605,1544018321586
-6.2044888,-8.413666,3.643898,1544018321619
-8.039275,-6.3955736,1.0025225,1544018321727
-8.98069,-6.3884144,-0.15403461,1544018321727
-11.660047,-4.7913313,0.4162712,1544018321727
-11.965945,-4.3449907,1.0171928,1544018321760
-13.264929,-5.7002754,3.1387196,1544018321794
-13.326351,-4.683331,5.0227566,1544018321830
-13.326351,-4.683331,5.0227566,1544018321865
-13.326351,-4.683331,5.0227566,1544018321900
-13.326351,-4.683331,5.0227566,1544018321936
-6.4807916,1.2785943,18.592518,1544018322002
-3.865169,1.584719,19.379986,1544018322007
-3.571853,5.3924913,19.709068,1544018322047
-3.983091,5.428871,17.45184,1544018322075
-6.8432426,8.40353,12.8858595,1544018322112
-7.8290052,1.0890219,9.170657,1544018322144
-8.522827,-6.765859,4.116047,1544018322179
-9.189245,-9.282324,1.4749289,1544018322238
-9.091991,-11.660618,-1.0607157,1544018322273
-6.589373,-12.515316,-8.105125,1544018322283
-2.0692751,-14.63508,-8.008632,1544018322319
-0.26832256,-15.396543,-7.4386296,1544018322353
1.0445471,-16.276749,-5.7355175,1544018322409
1.6711326,-16.714125,-6.2206383,1544018322423
2.7242742,-12.476291,2.9781885,1544018322460
-0.8754358,-11.415096,10.7638,1544018322496
-1.6506352,-12.375038,5.183049,1544018322531
0.5988557,-15.811932,1.0599174,1544018322571
0.5306887,-11.478439,1.6202793,1544018322600
-1.4757946,-13.492256,1.3154335,1544018322634
-2.58198,-13.855432,1.3047009,1544018322672
-4.597636,-13.17992,2.898673,1544018322707
-5.4666886,-10.241615,4.064183,1544018322768
-6.1519456,-10.26513,4.0639725,1544018322776
-5.271992,-11.598755,5.8847322,1544018322812
-5.271992,-11.598755,5.8847322,1544018322848
-5.271992,-11.598755,5.8847322,1544018322912
-5.271992,-11.598755,5.8847322,1544018322915
-5.271992,-11.598755,5.8847322,1544018322950
-5.6316404,-8.372137,6.29618,1544018323000
-5.776604,-5.178936,7.1721773,1544018323023
-6.7560115,-5.975711,7.266824,1544018323054
-8.145263,-5.8129854,6.0119886,1544018323100
-8.331998,-6.5847387,6.208845,1544018323124
-7.521054,-10.559963,5.081661,1544018323159
-5.964503,-10.222196,6.529874,1544018323196
-4.9839525,-7.057522,7.0301075,1544018323232
-3.0653746,-2.8199515,7.718939,1544018323266
-3.0458364,-5.430101,7.3821516,1544018323330
-3.3107915,-8.47711,7.3494577,1544018323338
-2.93874,-6.84116,7.8350124,1544018323375
-2.2930434,-7.465516,8.391047,1544018323408
-2.8706279,-8.547295,7.567483,1544018323445
-3.3109648,-7.971624,7.2566833,1544018323480
-3.4090557,-7.9859495,7.5783243,1544018323515
-3.5362613,-7.5038285,7.324049,1544018323551
-3.1452208,-8.077879,8.107468,1544018323588
-2.1271787,-6.754615,8.414663,1544018323671
-2.498919,-6.297886,7.6641083,1544018323671
-1.3344008,-6.3778543,8.810736,1544018323701
-1.0407208,-5.1690817,8.121945,1544018323730
0.045403354,-4.256954,9.021229,1544018323765
2.2280498,-6.2567806,7.5032454,1544018323800
1.9241837,-7.4074345,5.0128756,1544018323831
1.9241837,-7.4074345,5.0128756,1544018323872
1.9241837,-7.4074345,5.0128756,1544018323900
3.9346788,-3.3781197,3.4844217,1544018323935
8.078838,-7.5028534,3.024087,1544018323970
7.7665415,-11.148753,-0.3758402,1544018324025
5.917627,-15.045437,-4.398049,1544018324060
2.6371167,-17.407421,-6.814248,1544018324082
1.4912066,-18.157166,-7.3828163,1544018324114
-1.2228622,-16.124956,-8.324879,1544018324152
-2.0847898,-14.650446,-7.3924913,1544018324198
-2.6526122,-12.334736,-6.011229,1544018324224
-2.72107,-10.850064,-5.52464,1544018324254
-3.1324334,-10.2333555,-5.63343,1544018324292
-3.2206974,-10.204566,-5.8821406,1544018324325
-2.5051153,-8.878842,-4.419665,1544018324369
-1.6141068,-8.759368,-3.8276124,1544018324395
-0.6748488,-9.32317,-4.0190177,1544018324445
0.22465579,-8.512055,-4.4363184,1544018324468
0.7922891,-9.657586,-4.887352,1544018324502
3.8545604,-9.891376,-5.8778014,1544018324605
5.9583325,-10.04734,-7.0039315,1544018324605
7.092927,-9.868118,-6.967594,1544018324630
7.0520296,-8.831506,-6.7803345,1544018324643
5.774141,-5.9375486,-5.8652353,1544018324681
4.0290284,-3.6914864,-3.963262,1544018324719
4.847247,-6.015977,-3.9104419,1544018324756
5.1819263,-7.0856676,-4.840571,1544018324786
7.3548603,-7.7425632,-5.091352,1544018324825
7.3548603,-7.7425632,-5.091352,1544018324860
7.3548603,-7.7425632,-5.091352,1544018324898
7.3548603,-7.7425632,-5.091352,1544018324943
9.058362,-9.769549,1.3606613,1544018324980
7.0028105,-10.216811,2.6127539,1544018324999
4.779609,-8.966753,2.8445222,1544018325034
4.0275803,-9.938417,0.7920189,1544018325068
4.4391303,-10.734457,0.32437277,1544018325104
4.5852203,-10.0928955,0.061220646,1544018325137
4.5049324,-8.140736,0.1701088,1544018325237
4.435691,-7.9440813,0.6991539,1544018325237
3.80835,-7.949194,1.2946519,1544018325250
4.1102495,-6.90759,1.7873876,1544018325277
6.8710866,-7.5539627,0.91444385,1544018325313
9.050896,-5.487441,0.30186915,1544018325349
11.179007,-6.656555,-0.5895107,1544018325384
12.147735,-6.22033,-0.30016625,1544018325435
12.420838,-5.9176416,-0.03429401,1544018325455
13.62341,-4.4568586,-0.8709024,1544018325490
14.750054,-4.216894,-0.5085207,1544018325527
17.22134,-4.1342716,-0.3227855,1544018325565
17.780462,-4.0798483,-0.20741796,1544018325597
17.53508,-3.656063,-0.25871527,1544018325634
16.193068,-4.596615,0.82386345,1544018325678
14.888739,-4.5613747,1.2330842,1544018325703
14.408659,-4.832184,1.6845201,1544018325737
13.927146,-4.591421,1.6560159,1544018325775
14.849218,-5.0945435,1.8310058,1544018325827
14.849218,-5.0945435,1.8310058,1544018325856
14.849218,-5.0945435,1.8310058,1544018325878
14.849218,-5.0945435,1.8310058,1544018325918
21.209007,-7.531313,2.3150759,1544018325948
20.834377,-4.8983374,1.5185239,1544018325982
16.982801,-6.640826,0.46235293,1544018326047
11.115872,-9.10067,1.865957,1544018326056
8.515146,-5.6429234,2.4397144,1544018326092
6.8019004,1.3872643,2.2301123,1544018326139
4.78059,1.388246,3.4366577,1544018326164
6.8766427,-9.278533,10.214224,1544018326208
5.5557036,-11.026493,12.197239,1544018326238
6.211476,-10.391914,12.769459,1544018326272
5.7160935,-3.948347,7.6898355,1544018326309
5.094575,-8.176884,4.2658587,1544018326343
4.0388436,-12.352383,5.7933598,1544018326378
5.7037477,-12.800615,3.7592173,1544018326414
6.8982406,-11.27488,1.2518334,1544018326450
8.327577,-10.365847,0.14356232,1544018326485
9.530834,-8.151074,-0.50818205,1544018326520
12.702312,-5.5323944,-1.044564,1544018326583
15.690998,-5.705476,-0.2775123,1544018326589
17.29827,-5.8908806,-0.018287897,1544018326628
19.38495,-6.8435097,1.0247711,1544018326663
18.246199,-5.3243456,2.2193274,1544018326697
16.488243,-2.515397,4.23417,1544018326736
17.713102,-1.7186337,3.7261853,1544018326767
20.551128,-6.3327227,1.8257551,1544018326804
22.864315,-18.096003,-0.99542207,1544018326858
22.864315,-18.096003,-0.99542207,1544018326872
22.864315,-18.096003,-0.99542207,1544018326922
