value,ts
1009.4272,1544018314118
1009.32825,1544018314119
1009.3999,1544018314119
1009.43536,1544018314136
1008.2101,1544018314170
1008.6915,1544018314204
1009.34485,1544018314238
1009.4181,1544018314273
1009.4412,1544018314307
1009.4354,1544018314342
1009.2475,1544018314376
1009.3627,1544018314410
1009.2416,1544018314446
1009.3711,1544018314480
1009.42126,1544018314517
1009.30133,1544018314549
1009.3736,1544018314584
1009.4003,1544018314618
1009.4309,1544018314654
1009.47107,1544018314686
1009.2904,1544018314721
1009.37537,1544018314755
1009.43555,1544018314793
1009.4272,1544018314824
1009.41846,1544018314860
1009.4407,1544018314893
1009.50806,1544018314927
1009.43256,1544018314963
1009.414,1544018315121
1009.4449,1544018315121
1009.4704,1544018315121
1009.4797,1544018315121
1009.4616,1544018315134
1009.47015,1544018315171
1009.07227,1544018315205
1009.31433,1544018315240
1009.49866,1544018315275
1009.41876,1544018315306
1009.4511,1544018315341
1009.4797,1544018315375
1009.4444,1544018315413
1009.4182,1544018315444
1009.1091,1544018315482
1008.62756,1544018315514
1008.1625,1544018315548
1008.0231,1544018315582
1008.2073,1544018315620
1008.1299,1544018315651
1008.23804,1544018315685
1008.3429,1544018315720
1008.4053,1544018315755
1008.45703,1544018315789
1008.4267,1544018315828
1008.4211,1544018315857
1008.2407,1544018315892
1008.6664,1544018315927
1008.9563,1544018315961
1009.1527,1544018315996
1009.6394,1544018316089
1009.9839,1544018316089
1010.05115,1544018316099
1009.7876,1544018316133
1009.4243,1544018316174
1009.3091,1544018316203
1009.3455,1544018316237
1009.4429,1544018316271
1009.5156,1544018316306
1009.5973,1544018316347
1009.67975,1544018316374
1009.7388,1544018316410
1009.7914,1544018316444
1009.8411,1544018316482
1009.8602,1544018316521
1009.8424,1544018316547
1009.6819,1544018316581
1009.7461,1544018316619
1009.75354,1544018316650
1009.4805,1544018316692
1009.62933,1544018316719
1009.773,1544018316760
1009.7457,1544018316788
1009.747,1544018316823
1009.7372,1544018316857
1009.729,1544018316892
1009.4756,1544018316926
1009.60187,1544018316962
1009.71136,1544018316995
1009.51324,1544018317029
1009.3821,1544018317064
1009.5459,1544018317099
1009.63715,1544018317135
1009.45056,1544018317169
1009.3353,1544018317201
1009.35333,1544018317266
1009.5691,1544018317270
1009.62805,1544018317306
1009.5395,1544018317343
1009.36084,1544018317376
1009.50214,1544018317414
1009.6109,1544018317443
1009.5929,1544018317477
1009.58466,1544018317514
1009.54846,1544018317546
1009.58154,1544018317585
