sensor_id,sensor_status,ts,subject_id
P2,"ON",1542366491282,"203"
P2,"OFF",1542366591336,"203"
P2,"ON",1542366617411,"203"
P2,"OFF",1542366677639,"203"
R5,"ON",1542366693771,"203"
R5,"OFF",1542366704358,"203"
E1,"ON",1542366729000,"203"
R1,"ON",1542366734208,"203"
R1,"OFF",1542366744597,"203"
R1,"ON",1542366764987,"203"
R1,"OFF",1542366770272,"203"
R7,"ON",1542366772645,"203"
R7,"OFF",1542366779300,"203"
R7,"ON",1542366789955,"203"
R7,"OFF",1542366794739,"203"
R2,"ON",1542366802732,"203"
R2,"OFF",1542366813393,"203"
E1,"OFF",1542366822000,"203"
