x,y,z,ts
-14.526796,-3.7300081,-0.043573856,1542366390267
-14.712931,-3.57199,-0.2592702,1542366390275
-14.8596,-3.1321707,-0.18529153,1542366390310
-15.016047,-2.7442245,-0.41600633,1542366390350
-15.0550375,-2.49512,-0.21433997,1542366390385
-15.113948,-2.5786924,-0.16286206,1542366390418
-15.251652,-3.024539,-0.14175797,1542366390451
-15.330191,-3.1962652,-0.16053343,1542366390489
-15.221971,-2.943513,-0.100942135,1542366390522
-15.162934,-2.7720766,-0.08762121,1542366390557
-15.084539,-2.887292,-0.30683494,1542366390599
-15.153085,-2.8032799,-0.26126003,1542366390634
-15.006086,-2.9143076,-0.25145745,1542366390670
-14.976798,-3.0533543,-0.374578,1542366390707
-15.065073,-3.0534573,-0.3847046,1542366390740
-15.094497,-3.014552,-0.23860073,1542366390784
-15.202542,-3.1531677,-0.31133747,1542366390810
-15.496861,-3.2046585,-0.48563957,1542366390847
-15.53602,-3.1485634,-0.5921552,1542366390881
-15.506411,-2.973606,-0.6459849,1542366390915
-15.506411,-2.973606,-0.6459849,1542366390954
-15.506411,-2.973606,-0.6459849,1542366390986
-15.506411,-2.973606,-0.6459849,1542366391023
-15.46695,-2.766736,-0.65293217,1542366391060
-15.545311,-2.648737,-0.66088223,1542366391095
-15.574882,-2.7903452,-0.71241355,1542366391131
-15.78098,-2.8747835,-0.6498537,1542366391165
-15.702767,-3.0500107,-0.44764972,1542366391201
-15.565061,-2.6778526,-0.4371097,1542366391232
-15.476674,-2.5826082,-0.50252724,1542366391280
-15.52565,-2.5522318,-0.7611315,1542366391310
-15.486623,-2.7260637,-0.6799605,1542366391340
-15.48642,-2.5070744,-0.498111,1542366391378
-15.574806,-2.563119,-0.30722332,1542366391419
-15.584669,-2.5718584,-0.16093135,1542366391455
-15.574935,-2.606699,-0.02758789,1542366391490
-15.663141,-2.569003,-0.20368814,1542366391523
-15.584597,-2.5312376,-0.3497486,1542366391557
-15.53532,-2.2692928,-0.20632005,1542366391600
-15.603872,-2.1339445,-0.21616769,1542366391631
-15.643087,-2.117591,-0.2502637,1542366391669
-15.6921015,-2.1802626,-0.34513378,1542366391704
-15.653034,-2.3480616,-0.3604598,1542366391738
-15.604069,-2.3689861,-0.11139393,1542366391773
-15.682871,-2.6286592,0.016747475,1542366391811
-15.771228,-2.6482105,-0.012424231,1542366391843
-15.800481,-2.482607,-0.08549452,1542366391877
-15.741461,-2.3359852,-0.19526672,1542366391914
-15.741453,-2.3453588,-0.2916131,1542366391952
-15.741453,-2.3453588,-0.2916131,1542366391984
-15.741453,-2.3453588,-0.2916131,1542366392024
-15.741453,-2.3453588,-0.2916131,1542366392052
-15.741453,-2.3453588,-0.2916131,1542366392090
-15.663256,-2.526823,-0.066238165,1542366392122
-15.584484,-2.2905092,-0.20950723,1542366392163
-15.59444,-2.4167156,-0.15532303,1542366392201
-15.69258,-2.4757023,-0.244174,1542366392228
-15.604198,-2.3673382,-0.17354894,1542366392266
-15.613918,-2.2666798,-0.19249153,1542366392302
-15.682681,-2.3827543,-0.2350111,1542366392342
-15.633785,-2.5368109,-0.18417072,1542366392370
-15.535622,-2.447672,-0.13155103,1542366392408
-15.564961,-2.3665113,-0.1792829,1542366392442
-15.663077,-2.39396,-0.21038413,1542366392484
-15.731919,-2.557189,-0.3136363,1542366392517
-15.663313,-2.5745554,-0.20621395,1542366392570
-15.653344,-2.415494,-0.1972034,1542366392582
-15.604259,-2.3623629,-0.17995715,1542366392619
-15.614227,-2.5268288,-0.25870502,1542366392656
-15.624139,-2.620492,-0.30858636,1542366392694
-15.584716,-2.4200544,-0.23123503,1542366392727
-15.54556,-2.483364,-0.2178638,1542366392766
-15.535917,-2.6454144,-0.19740391,1542366392795
-15.555557,-2.662836,-0.21713233,1542366392832
-15.545781,-2.6685143,-0.13011599,1542366392867
-15.535966,-2.646329,-0.07935405,1542366392901
-15.477058,-2.5953875,-0.060952663,1542366392940
-15.477058,-2.5953875,-0.060952663,1542366392973
-15.477058,-2.5953875,-0.060952663,1542366393010
-15.477058,-2.5953875,-0.060952663,1542366393045
-15.477058,-2.5953875,-0.060952663,1542366393078
-15.477058,-2.5953875,-0.060952663,1542366393114
-15.535944,-2.5383186,-0.05375576,1542366393154
-15.506702,-2.7040071,-0.039231062,1542366393182
-15.496776,-2.5956135,-0.095666885,1542366393226
-15.496655,-2.4773378,-0.09291339,1542366393256
-15.545868,-2.633336,-0.17698061,1542366393294
-15.5164175,-2.5943441,-0.09961009,1542366393333
-15.565329,-2.4581203,-0.045711994,1542366393362
-15.565406,-2.5273657,-0.028862715,1542366393399
-15.585091,-2.5775986,-0.03438735,1542366393437
-15.604635,-2.5106564,-0.101050735,1542366393470
-15.545708,-2.4330425,-0.08527446,1542366393506
-15.565248,-2.4045753,-0.12885451,1542366393539
-15.584939,-2.4643764,-0.064584255,1542366393575
-15.506509,-2.4952593,-0.051620007,1542366393612
-15.545664,-2.4175014,-0.084190845,1542366393655
-15.55542,-2.3610296,-0.06546998,1542366393693
-15.624048,-2.332735,-0.16860437,1542366393714
-15.624067,-2.3425179,-0.16849446,1542366393779
-15.594857,-2.519885,-0.044808388,1542366393787
-15.653676,-2.4813147,-0.05755663,1542366393830
-15.682778,-2.1973753,-0.26552975,1542366393882
-15.653579,-2.3933287,-0.20588923,1542366393895
-15.722431,-2.541109,-0.17951226,1542366393932
-15.722431,-2.541109,-0.17951226,1542366393976
-15.722431,-2.541109,-0.17951226,1542366394041
-15.722431,-2.541109,-0.17951226,1542366394068
-15.722431,-2.541109,-0.17951226,1542366394071
-15.722431,-2.541109,-0.17951226,1542366394119
-15.889089,-2.3872862,-0.19325113,1542366394143
-15.820521,-2.4556522,-0.16258371,1542366394195
-15.800783,-2.3104563,-0.06315255,1542366394213
-15.66326,-2.144641,-0.27305996,1542366394251
-15.663313,-2.1825714,-0.34578133,1542366394287
-15.732213,-2.3872948,-0.2619382,1542366394321
-15.800985,-2.4758892,-0.20458293,1542366394394
-15.683145,-2.322052,-0.100474834,1542366394405
-15.633923,-2.1692028,-0.21634579,1542366394431
-15.476917,-2.1036148,-0.39638138,1542366394463
-15.653675,-2.2607594,-0.39742017,1542366394494
-15.72257,-2.4587536,-0.25837922,1542366394546
-15.830909,-2.8157701,-0.15782952,1542366394574
-15.820645,-2.3310394,-0.1326828,1542366394607
-15.810849,-2.3531609,-0.15309787,1542366394639
-15.664123,-2.7387924,-0.1664424,1542366394675
-15.703255,-2.6337004,-0.1584599,1542366394711
-15.604814,-2.2660303,-0.09087992,1542366394747
-15.595027,-2.2863235,-0.13291097,1542366394783
-15.624721,-2.5416937,-0.1247406,1542366394814
-15.605097,-2.5318508,-0.104981184,1542366394850
-15.516623,-2.3160925,-0.04609418,1542366394885
-15.4971,-2.3833132,0.048051357,1542366394919
-15.467686,-2.410862,-0.0030415058,1542366394955
-15.467686,-2.410862,-0.0030415058,1542366394991
-15.467686,-2.410862,-0.0030415058,1542366395027
-15.467686,-2.410862,-0.0030415058,1542366395057
-15.467686,-2.410862,-0.0030415058,1542366395094
-15.634698,-2.686945,0.06114006,1542366395132
-15.448151,-2.5482674,0.116019726,1542366395172
-15.703298,-2.636426,0.27335072,1542366395202
-15.624881,-2.637723,0.37574935,1542366395234
-16.125584,-2.90734,0.80653715,1542366395271
-16.538,-3.180643,1.1340618,1542366395309
-16.950418,-3.2972517,1.618675,1542366395345
-17.126907,-3.064743,1.4205942,1542366395380
-17.15611,-2.9637318,0.25754738,1542366395412
-16.615404,-1.6333189,-0.7174065,1542366395449
-16.173872,-1.4266577,-0.4458766,1542366395486
-16.114798,-1.1644268,-0.5136771,1542366395533
-15.692163,-0.13828182,-0.6815188,1542366395561
-15.358578,0.35282612,-0.17524886,1542366395594
-14.848807,0.6440058,0.80295324,1542366395629
-14.662221,1.1769638,1.152926,1542366395667
-15.240983,1.5421405,1.0587666,1542366395700
-15.065234,0.9360428,1.4839402,1542366395736
-15.97851,-0.28243923,1.5650849,1542366395772
-17.028318,-1.0145187,1.1748667,1542366395808
-17.440115,-0.98787403,1.3351173,1542366395846
-17.508436,-0.6002941,1.491003,1542366395877
-18.007957,0.17810154,1.4682801,1542366395922
-18.10662,-0.69061375,1.3699465,1542366395949
-18.10662,-0.69061375,1.3699465,1542366395997
-18.10662,-0.69061375,1.3699465,1542366396019
-18.10662,-0.69061375,1.3699465,1542366396074
-18.10662,-0.69061375,1.3699465,1542366396094
-18.10662,-0.69061375,1.3699465,1542366396125
-17.027105,0.2058115,2.4401405,1542366396162
-16.693033,0.70586395,2.641866,1542366396199
-16.025772,0.42139053,2.2315054,1542366396230
-15.968398,-1.2260151,2.8722947,1542366396264
-14.909149,-1.0400686,3.465636,1542366396298
-15.025956,-0.15879345,3.0151575,1542366396333
-14.555364,-0.3652792,2.7046072,1542366396386
-15.265075,-4.396549,2.5655186,1542366396405
-14.815203,-5.8584223,2.8047404,1542366396444
-14.06062,-6.1116505,3.8373904,1542366396491
-13.54132,-6.277959,4.916942,1542366396519
-13.100868,-7.003517,5.875538,1542366396548
-14.189463,-7.798376,4.5246224,1542366396581
-12.982652,-6.0219793,4.659395,1542366396623
-12.276127,-5.02114,4.8628616,1542366396653
-10.420471,-1.775013,5.058088,1542366396694
-8.998396,-0.09847164,6.0798764,1542366396734
-8.6371975,-0.50244236,6.792472,1542366396763
-9.285669,-2.084876,6.615245,1542366396797
-11.600564,-4.5528307,5.767914,1542366396833
-14.01184,-3.9866028,5.5009813,1542366396869
-14.854647,-3.397726,5.427545,1542366396909
-15.050335,-3.0575752,5.193112,1542366396940
-15.050335,-3.0575752,5.193112,1542366396976
-15.050335,-3.0575752,5.193112,1542366397012
-15.050335,-3.0575752,5.193112,1542366397052
-15.050335,-3.0575752,5.193112,1542366397085
-15.050335,-3.0575752,5.193112,1542366397125
-15.149816,-6.546755,2.6953077,1542366397149
-13.257327,-6.2660627,3.4683437,1542366397191
-11.705732,-3.219674,4.265933,1542366397230
-10.346337,0.80948067,3.0430021,1542366397261
-5.5549793,-0.002524376,2.158535,1542366397308
-0.92782915,-1.0120544,1.5882822,1542366397329
4.1926923,-4.017688,0.22085822,1542366397368
4.6546783,-8.621687,0.75013447,1542366397407
9.448172,-11.994207,2.3454702,1542366397436
9.745849,-0.63137627,1.2792115,1542366397502
13.380145,4.2843866,0.84248734,1542366397509
18.734604,5.9375534,0.32807112,1542366397545
22.206715,5.2994876,0.43820953,1542366397581
30.553534,1.107193,1.816813,1542366397616
38.341022,-3.4031878,2.147416,1542366397654
38.341022,-3.4031878,2.147416,1542366397694
26.202423,-5.9572372,9.663751,1542366397722
21.917355,-3.4122972,10.841688,1542366397758
18.336725,2.6883473,7.94748,1542366397791
16.726908,4.0141206,3.997549,1542366397828
13.843852,3.8212419,4.1373367,1542366397869
10.481852,2.6572142,4.712802,1542366397902
10.364889,2.2319245,5.9559016,1542366397940
11.149395,2.5150347,7.080754,1542366397976
11.149395,2.5150347,7.080754,1542366398009
11.149395,2.5150347,7.080754,1542366398057
11.933089,2.9859877,8.243555,1542366398077
17.599945,9.633579,8.634124,1542366398118
19.90366,7.6073895,8.956313,1542366398152
20.88249,5.547054,8.875112,1542366398187
25.931902,2.8502412,6.888812,1542366398218
27.344608,1.2070417,7.347431,1542366398261
21.254478,1.1149311,7.0379453,1542366398308
21.47925,2.84168,5.1765113,1542366398329
23.43059,3.7357368,3.1873267,1542366398362
23.488806,4.8623962,2.0450947,1542366398401
20.133282,5.371192,2.2853248,1542366398432
18.269022,5.1718125,2.4340131,1542366398473
15.345477,3.9851518,2.392712,1542366398504
13.923708,3.5743437,2.3049884,1542366398540
13.835349,4.6906996,2.2835338,1542366398579
13.786446,5.213067,2.2627032,1542366398618
13.7967205,6.038991,1.8298883,1542366398648
15.416246,6.166961,1.9212447,1542366398685
18.04547,5.6082053,2.8098316,1542366398742
18.505919,5.1275964,3.9133294,1542366398752
19.898796,5.441825,4.796938,1542366398799
23.753954,5.069155,5.406412,1542366398828
24.029604,2.9284558,7.5956206,1542366398863
20.528149,3.1588974,7.9135633,1542366398896
23.145828,6.200682,6.4661922,1542366398938
21.458488,6.2371645,5.3368106,1542366398977
21.458488,6.2371645,5.3368106,1542366399010
21.458488,6.2371645,5.3368106,1542366399121
21.458488,6.2371645,5.3368106,1542366399121
12.025736,2.0635781,8.686676,1542366399131
12.800256,2.373249,8.884624,1542366399143
15.908487,3.2427325,8.7837715,1542366399215
17.427738,4.6306267,7.7148657,1542366399218
18.496082,5.913396,6.395025,1542366399253
20.163609,6.70754,6.4632564,1542366399285
20.31068,7.2115836,6.9139624,1542366399322
19.61335,7.302077,6.803064,1542366399358
24.665691,4.69983,7.0018067,1542366399391
22.263432,2.5629778,7.369068,1542366399456
19.604586,3.5652275,5.485462,1542366399464
20.77159,3.7496834,4.326584,1542366399510
23.929897,4.025106,4.0176673,1542366399540
23.370325,4.5541472,3.6261303,1542366399574
19.2494,4.3197355,2.9601407,1542366399612
16.079329,4.624233,2.3263137,1542366399645
15.264817,4.811203,2.1864746,1542366399683
14.107503,5.2245064,2.1198418,1542366399722
13.264789,5.3434877,2.1970515,1542366399754
13.443647,4.471578,2.7937958,1542366399789
15.015055,3.1478539,3.5931666,1542366399824
16.300446,2.617959,3.75562,1542366399858
17.928701,2.0583925,3.9599874,1542366399902
18.419744,0.98017216,6.032182,1542366399932
17.939585,0.5881634,6.632007,1542366399964
17.939585,0.5881634,6.632007,1542366399999
17.939585,0.5881634,6.632007,1542366400044
17.939585,0.5881634,6.632007,1542366400074
21.264126,2.8924413,8.608621,1542366400106
19.673994,6.737142,7.477043,1542366400140
14.405938,4.9631705,5.9164433,1542366400175
12.434348,4.4614005,6.0034323,1542366400216
10.052137,3.5849924,6.580544,1542366400270
10.613879,1.9674768,7.7032366,1542366400283
11.556176,1.0980539,8.023373,1542366400320
10.890984,0.10002136,8.826889,1542366400353
11.116607,0.38238716,9.281828,1542366400393
12.390718,0.9650173,9.055938,1542366400427
13.47792,1.9816189,8.052365,1542366400461
15.182028,3.8244767,7.2268724,1542366400510
15.700604,4.55551,6.767711,1542366400531
16.688951,6.827752,5.309924,1542366400569
23.743818,3.142795,6.941213,1542366400603
21.184359,2.0607858,7.020881,1542366400637
21.978317,3.9201689,6.8216,1542366400673
25.32347,1.8325582,4.575235,1542366400711
25.804289,1.1290483,2.8886042,1542366400746
22.322231,1.6465697,2.5439987,1542366400781
19.68316,2.1975079,3.654366,1542366400817
17.829226,1.2560415,4.567714,1542366400851
16.995518,0.79562426,5.3523026,1542366400896
16.024315,0.41748095,6.592124,1542366400928
15.318441,-0.47932386,7.6773186,1542366400969
15.318441,-0.47932386,7.6773186,1542366401003
15.318441,-0.47932386,7.6773186,1542366401045
15.318441,-0.47932386,7.6773186,1542366401065
16.427994,-4.361034,8.695721,1542366401129
17.52639,-4.6612797,10.101444,1542366401142
18.135683,-6.7497234,11.775292,1542366401174
20.880833,-6.5569887,10.262766,1542366401211
23.44076,-6.754556,11.496539,1542366401245
15.474067,-1.6010971,13.728006,1542366401293
14.237009,1.7417636,15.028301,1542366401325
17.13175,3.6890097,15.703819,1542366401359
21.428026,2.1654801,14.088459,1542366401396
20.809479,2.1993315,12.482309,1542366401431
16.639383,3.1524372,13.005926,1542366401462
15.226249,3.109445,13.145049,1542366401502
14.736456,1.4399362,13.043087,1542366401539
13.804875,0.18977833,12.13335,1542366401569
13.521136,-0.4382491,11.535879,1542366401607
13.011452,-0.596776,11.468469,1542366401643
13.14873,-0.39560175,11.303934,1542366401682
17.829126,-1.5280166,10.648878,1542366401717
27.961752,-2.599895,10.674661,1542366401758
28.129227,-2.3064218,6.750786,1542366401781
24.39277,-2.7821922,6.6048527,1542366401822
18.203917,-2.3917727,10.099495,1542366401854
16.16426,-2.5423603,11.92679,1542366401886
17.939384,-2.4434423,11.494564,1542366401930
18.948912,-0.9641967,9.938758,1542366401958
18.948912,-0.9641967,9.938758,1542366402003
18.948912,-0.9641967,9.938758,1542366402028
18.948912,-0.9641967,9.938758,1542366402061
17.585232,-1.1695619,8.258915,1542366402095
17.977642,-2.6095052,8.512943,1542366402143
17.977274,-2.7789087,7.963787,1542366402165
18.497063,-2.8954172,7.77757,1542366402201
19.232243,-2.996027,7.5480905,1542366402245
19.632225,-2.9864573,7.006739,1542366402275
20.161291,-2.857458,6.311628,1542366402312
19.935614,-2.610177,6.5450363,1542366402348
20.318073,-2.191616,7.7388196,1542366402384
21.721123,-1.6725864,8.133946,1542366402435
24.321169,-0.70585155,8.166207,1542366402455
17.63865,2.276026,9.396208,1542366402490
15.685793,3.2641997,10.891827,1542366402531
16.442305,5.5490174,11.717687,1542366402562
18.110405,5.903104,10.727493,1542366402595
19.032677,4.5111666,9.641379,1542366402654
18.983807,3.8516884,9.810998,1542366402673
18.642826,1.472383,13.259312,1542366402704
17.8873,1.2372379,12.517036,1542366402739
17.98702,-1.6266618,11.529526,1542366402774
18.939825,-2.267272,13.998929,1542366402808
18.489267,-3.384776,13.711918,1542366402845
15.84172,-5.25883,10.368074,1542366402887
14.2742405,-7.7857533,6.950866,1542366402917
14.245166,-8.703246,4.8378544,1542366402954
14.245166,-8.703246,4.8378544,1542366402986
14.245166,-8.703246,4.8378544,1542366403024
14.245166,-8.703246,4.8378544,1542366403056
13.782067,-7.527643,0.2331219,1542366403093
13.491802,-1.0663204,5.950125,1542366403131
13.431257,1.4444962,6.5257316,1542366403166
12.930893,2.9784527,7.041031,1542366403204
11.659701,3.7286534,8.724981,1542366403249
12.246274,-0.56427574,13.818516,1542366403270
11.050432,-0.97687626,13.482591,1542366403307
7.4059424,-4.0647726,11.565293,1542366403345
6.465704,-3.0144453,12.507658,1542366403386
9.40687,-4.260417,15.522178,1542366403414
9.857553,-5.5674343,14.336873,1542366403448
7.96442,-3.0412874,12.28056,1542366403483
6.1800313,-2.4820366,10.028014,1542366403520
6.3764825,-2.253705,11.118292,1542366403562
6.240281,-4.008065,11.489142,1542366403602
8.210804,-5.613347,13.543646,1542366403629
7.0142245,-2.5236235,13.418354,1542366403659
7.9618983,-0.96396065,12.05339,1542366403698
8.834152,-1.0968771,12.403326,1542366403735
9.708821,-2.7395086,15.930701,1542366403770
10.698788,-4.9854136,15.443479,1542366403816
11.532836,-7.675274,16.305387,1542366403841
12.248055,-6.10277,17.986914,1542366403878
7.356156,-3.451992,15.848308,1542366403915
4.7887244,-2.1968908,15.086262,1542366403973
3.054536,-0.019970894,15.185767,1542366404006
3.054536,-0.019970894,15.185767,1542366404018
3.054536,-0.019970894,15.185767,1542366404056
3.054536,-0.019970894,15.185767,1542366404091
2.2206342,0.48816776,11.6111,1542366404124
3.1702304,1.5984411,11.374261,1542366404159
3.4936712,2.951057,12.598599,1542366404201
3.8267446,4.2854986,12.86537,1542366404230
6.9824157,1.0089884,15.395661,1542366404272
8.60987,0.96923256,17.977322,1542366404303
9.4123535,3.2185583,17.710154,1542366404339
10.597411,0.37671947,17.020355,1542366404375
10.273873,0.35859776,17.360125,1542366404411
10.411257,-0.62308216,17.155548,1542366404451
10.312976,-1.0560102,16.473751,1542366404484
10.411006,-1.7710657,16.10214,1542366404516
11.499111,-2.2476835,16.986578,1542366404551
11.518244,-1.0692091,17.849045,1542366404589
11.26346,-1.2524109,17.965216,1542366404627
9.948485,0.13159084,16.742281,1542366404660
10.279079,0.6253824,14.824385,1542366404699
10.416092,-0.1312666,14.993049,1542366404730
10.485904,-1.5054798,15.131544,1542366404766
9.789537,-0.89656353,14.787927,1542366404805
9.525125,-0.74578,14.79831,1542366404836
11.024514,0.25551987,15.60759,1542366404875
11.232021,-4.3421154,13.436824,1542366404910
11.944779,0.7190113,13.992673,1542366404948
9.620935,2.3535762,13.470542,1542366404984
9.620935,2.3535762,13.470542,1542366405023
9.620935,2.3535762,13.470542,1542366405051
9.620935,2.3535762,13.470542,1542366405089
8.438124,5.6599045,14.689429,1542366405125
8.812422,3.7499557,16.082756,1542366405157
9.519924,2.7555676,17.558008,1542366405190
10.656112,-0.15749359,15.000875,1542366405228
8.5292015,-4.9458447,10.055184,1542366405264
7.333144,-4.8735933,8.48695,1542366405299
5.7320676,-2.3089943,4.7581124,1542366405346
