value,ts
1011.09,1542366390268
1011.09,1542366390303
1011.1,1542366390351
1011.1,1542366390407
1011.1,1542366390451
1011.08,1542366390500
1011.11,1542366390550
1011.09,1542366390602
1011.1,1542366390664
1011.1,1542366390707
1011.09,1542366390764
1011.08,1542366390810
1011.1,1542366390858
1011.1,1542366390906
1011.1,1542366390963
1011.1,1542366391012
1011.1,1542366391060
1011.1,1542366391111
1011.09,1542366391165
1011.11,1542366391216
1011.11,1542366391260
1011.11,1542366391315
1011.1,1542366391379
1011.08,1542366391421
1011.07,1542366391475
1011.09,1542366391523
1011.07,1542366391572
1011.07,1542366391627
1011.09,1542366391675
1011.09,1542366391729
1011.11,1542366391776
1011.11,1542366391826
1011.1,1542366391878
1011.09,1542366391924
1011.1,1542366391976
1011.11,1542366392039
1011.1,1542366392082
1011.1,1542366392124
1011.11,1542366392181
1011.1,1542366392228
1011.09,1542366392285
1011.1,1542366392330
1011.09,1542366392381
1011.11,1542366392430
1011.08,1542366392484
1011.08,1542366392539
1011.07,1542366392580
1011.1,1542366392635
1011.09,1542366392684
1011.09,1542366392736
1011.09,1542366392788
1011.1,1542366392844
1011.09,1542366392887
1011.1,1542366392936
1011.09,1542366392990
1011.08,1542366393045
1011.06,1542366393085
1011.07,1542366393134
1011.07,1542366393190
1011.09,1542366393238
1011.11,1542366393292
1011.12,1542366393341
1011.12,1542366393393
1011.11,1542366393440
1011.08,1542366393495
1011.09,1542366393545
1011.08,1542366393592
1011.09,1542366393650
1011.09,1542366393696
1011.08,1542366393779
1011.09,1542366393797
1011.1,1542366393881
1011.12,1542366393899
1011.1,1542366393952
1011.07,1542366394036
1011.08,1542366394067
1011.07,1542366394121
1011.08,1542366394148
1011.09,1542366394201
1011.1,1542366394251
1011.1,1542366394313
1011.12,1542366394391
1011.11,1542366394407
1011.1,1542366394454
1011.1,1542366394505
1011.09,1542366394558
1011.1,1542366394607
1011.09,1542366394656
1011.11,1542366394708
1011.07,1542366394757
1011.07,1542366394806
1011.09,1542366394856
1011.09,1542366394915
1011.1,1542366394958
1011.1,1542366395012
1011.09,1542366395055
1011.1,1542366395131
1011.11,1542366395155
1011.1,1542366395206
1011.1,1542366395259
1011.1,1542366395310
1011.11,1542366395361
1011.12,1542366395411
1011.11,1542366395465
1011.1,1542366395513
1011.09,1542366395566
1011.07,1542366395620
1011.08,1542366395669
1011.09,1542366395726
1011.08,1542366395769
1011.07,1542366395835
1011.08,1542366395871
1011.08,1542366395941
1011.1,1542366395994
1011.11,1542366396022
1011.1,1542366396071
1011.09,1542366396131
1011.09,1542366396174
1011.08,1542366396225
1011.08,1542366396280
1011.09,1542366396328
1011.08,1542366396388
1011.07,1542366396421
1011.06,1542366396488
1011.06,1542366396525
1011.06,1542366396578
1011.07,1542366396629
1011.1,1542366396678
1011.11,1542366396734
1011.14,1542366396782
1011.13,1542366396830
1011.12,1542366396883
1011.1,1542366396932
1011.1,1542366396991
1011.09,1542366397051
1011.1,1542366397085
1011.09,1542366397133
1011.09,1542366397189
1011.09,1542366397240
1011.08,1542366397308
1011.08,1542366397339
1011.07,1542366397391
1011.14,1542366397441
1011.16,1542366397503
1011.18,1542366397541
1011.21,1542366397594
1011.25,1542366397652
1011.28,1542366397694
1011.25,1542366397745
1011.22,1542366397811
1011.2,1542366397847
1011.11,1542366397902
1011.1,1542366397951
1011.1,1542366398004
1011.09,1542366398057
1011.1,1542366398106
1011.12,1542366398159
1011.14,1542366398204
1011.15,1542366398262
1011.15,1542366398311
1011.15,1542366398356
1011.16,1542366398405
1011.14,1542366398462
1011.11,1542366398513
1011.09,1542366398559
1011.06,1542366398616
1011.08,1542366398661
1011.09,1542366398742
1011.13,1542366398772
1011.14,1542366398817
1011.16,1542366398872
1011.18,1542366398923
1011.21,1542366398978
1011.17,1542366399015
1011.13,1542366399108
1011.08,1542366399131
1011.08,1542366399215
1011.09,1542366399221
1011.13,1542366399277
1011.16,1542366399322
1011.16,1542366399370
1011.16,1542366399422
1011.14,1542366399475
1011.12,1542366399526
1011.12,1542366399574
1011.11,1542366399632
1011.1,1542366399683
1011.08,1542366399730
1011.1,1542366399780
1011.09,1542366399831
1011.13,1542366399883
1011.15,1542366399938
1011.2,1542366399987
1011.22,1542366400044
1011.2,1542366400085
1011.22,1542366400136
1011.2,1542366400185
1011.15,1542366400238
1011.12,1542366400286
1011.11,1542366400335
1011.12,1542366400389
1011.12,1542366400436
1011.14,1542366400505
1011.16,1542366400537
1011.16,1542366400596
1011.18,1542366400638
1011.11,1542366400695
1011.08,1542366400744
1011.08,1542366400793
1011.07,1542366400846
1011.06,1542366400899
1011.07,1542366400954
1011.09,1542366401003
1011.1,1542366401051
1011.15,1542366401129
1011.16,1542366401152
1011.18,1542366401203
1011.19,1542366401255
1011.18,1542366401310
1011.12,1542366401360
1011.13,1542366401410
1011.14,1542366401461
1011.14,1542366401513
1011.12,1542366401565
1011.11,1542366401614
1011.12,1542366401664
1011.13,1542366401721
1011.18,1542366401764
1011.21,1542366401822
1011.19,1542366401867
1011.15,1542366401930
1011.15,1542366401965
1011.13,1542366402107
1011.11,1542366402107
1011.11,1542366402122
1011.12,1542366402163
1011.12,1542366402215
1011.12,1542366402273
1011.1,1542366402321
1011.09,1542366402382
1011.11,1542366402436
1011.12,1542366402477
1011.12,1542366402524
1011.1,1542366402571
1011.13,1542366402621
1011.16,1542366402676
1011.16,1542366402729
1011.17,1542366402776
1011.21,1542366402826
1011.22,1542366402887
1011.17,1542366402927
1011.17,1542366402983
1011.17,1542366403039
1011.19,1542366403085
1011.24,1542366403131
1011.26,1542366403184
1011.27,1542366403248
1011.29,1542366403282
1011.29,1542366403332
1011.25,1542366403387
1011.21,1542366403444
1011.2,1542366403488
1011.17,1542366403538
1011.16,1542366403601
1011.16,1542366403638
1011.16,1542366403690
1011.15,1542366403743
1011.13,1542366403811
1011.09,1542366403842
1011.11,1542366403901
1011.08,1542366403973
1010.96,1542366404006
1010.94,1542366404047
1010.93,1542366404095
1010.91,1542366404155
1010.91,1542366404204
1010.93,1542366404255
1010.96,1542366404303
1010.99,1542366404359
1010.99,1542366404401
1011.01,1542366404458
1011.04,1542366404512
1011.04,1542366404554
1011.04,1542366404605
1011.04,1542366404657
1011.05,1542366404708
1011.08,1542366404756
1011.09,1542366404811
1011.09,1542366404861
1011.11,1542366404913
1011.14,1542366404964
1011.17,1542366405023
1011.17,1542366405065
1011.2,1542366405113
1011.19,1542366405163
1011.24,1542366405215
1011.31,1542366405299
1011.37,1542366405318
1011.37,1542366405367
1011.22,1542366405416
