ts_start,ts_end,act
1542366390265,1542366403817,TRANSITION
1542366403828,1542366422933,ENTERING_HOME
1542366422952,1542366432556,TRANSITION
1542366432569,1542366479150,WASHING_DISHES
1542366479159,1542366488371,TRANSITION
1542366488394,1542366579948,USING_PC
1542366579955,1542366581215,TRANSITION
1542366581234,1542366613218,MAKING_PHONE_CALL
1542366613233,1542366616915,TRANSITION
1542366616925,1542366674589,USING_PC
1542366674620,1542366692517,TRANSITION
1542366692554,1542366849799,COOKING
1542366849806,1542366858113,TRANSITION
1542366858122,1542366872562,LEAVING_HOME
1542366872569,1542366878287,TRANSITION
