ts_start,ts_end,location
1542366390265,1542366401635,OUT
1542366401643,1542366430788,HALL
1542366430818,1542366481419,KITCHEN
1542366481426,1542366482810,HALL
1542366482830,1542366484134,MEDICINE_AREA
1542366484142,1542366485879,LIVING_ROOM
1542366485900,1542366598044,OFFICE
1542366598061,1542366613097,LIVING_ROOM
1542366613108,1542366680709,OFFICE
1542366680745,1542366682081,LIVING_ROOM
1542366682121,1542366684076,MEDICINE_AREA
1542366684101,1542366685439,HALL
1542366685498,1542366856627,KITCHEN
1542366856658,1542366870342,HALL
1542366870351,1542366878287,OUT
