x,y,z,ts
1.723114,1.3207092,2.062683,1542627846455
1.3482971,1.5604858,1.9358368,1542627846493
1.2728729,1.4945068,1.7922974,1542627846517
1.1648254,1.2972412,1.5120697,1542627846545
0.8984375,1.0815735,1.0810852,1542627846604
0.7010498,0.91004944,0.7680664,1542627846636
0.29858398,0.5286102,0.28245544,1542627846665
-0.043945312,0.13174438,-0.17979431,1542627846696
-0.49069214,-0.4178009,-0.81655884,1542627846723
-0.7940521,-0.9162445,-1.4020844,1542627846754
-1.0637665,-1.3987122,-2.0776062,1542627846783
-1.7954254,-1.7190704,-2.7072754,1542627846841
-2.4252625,-1.72258,-2.9558258,1542627846879
-2.3103943,-1.5537109,-3.0701752,1542627846903
-1.8295135,-1.1871796,-2.9196777,1542627846933
-1.4673309,-0.7020111,-2.7280273,1542627846960
-1.7108154,-0.3345642,-2.543579,1542627846989
-2.0558777,-0.10787964,-2.338089,1542627847053
-2.1398163,0.1602478,-2.0379944,1542627847079
-2.24971,0.19174194,-1.7610321,1542627847110
-2.811386,0.21859741,-1.2521515,1542627847138
-2.9570923,0.28466797,-0.77020264,1542627847168
-2.447937,0.19137573,-0.3652954,1542627847199
-1.1509552,-0.049301147,0.1802826,1542627847258
-0.28453064,-0.26982117,0.62861633,1542627847289
0.45144653,-0.5683594,0.9601288,1542627847315
1.0127563,-0.7949219,1.1219788,1542627847346
1.6432495,-0.8959961,1.1472626,1542627847375
1.9266663,-0.6261139,1.2331848,1542627847406
1.9290924,-0.31758118,1.5212097,1542627847479
2.0789795,-0.05871582,1.7348785,1542627847496
2.051361,0.12019348,1.6547546,1542627847528
1.5298615,0.3529358,1.3499298,1542627847554
1.1300201,0.5459137,1.118515,1542627847583
0.7417908,0.5834961,0.8548584,1542627847613
0.64494324,0.43354797,0.50878906,1542627847675
0.59181213,0.2537079,0.2518158,1542627847702
0.40618896,0.023605347,-0.049819946,1542627847736
0.13951111,-0.18107605,-0.3521576,1542627847771
-0.37019348,-0.45578003,-0.90948486,1542627847795
-0.84550476,-0.6436615,-1.5021667,1542627847822
-1.2728271,-0.8214264,-2.123001,1542627847850
-1.7109375,-0.90371704,-2.9146576,1542627847900
-2.1498718,-0.9152069,-3.651764,1542627847942
-2.7423096,-0.6300049,-3.9684753,1542627847969
-3.1781921,-0.07342529,-3.7717285,1542627848000
-2.7960968,0.17607117,-2.9158478,1542627848029
-1.8698425,0.017425537,-2.1221619,1542627848058
-1.4978333,0.09602356,-1.6998291,1542627848118
-1.7361603,0.29100037,-1.4309692,1542627848147
-1.7939911,0.41371155,-1.2625885,1542627848178
-1.4793243,0.41870117,-0.9851227,1542627848207
-1.2598114,0.36302185,-0.7726593,1542627848237
-1.0934296,0.24191284,-0.57077026,1542627848267
-0.7402649,0.048065186,-0.3825531,1542627848325
-0.50335693,-0.08850098,-0.15908813,1542627848359
-0.4393158,-0.23254395,0.26139832,1542627848385
-0.30584717,-0.38478088,0.6174774,1542627848415
0.25627136,-0.5915222,0.93681335,1542627848443
0.83432007,-0.6836548,1.0934296,1542627848477
0.993927,-0.5813141,1.1279907,1542627848550
1.3733673,-0.22000122,1.3612366,1542627848563
1.9291687,0.10812378,1.864563,1542627848592
2.3236847,0.44535828,2.413269,1542627848622
2.2199402,0.7331848,2.4533234,1542627848652
1.8793335,1.1634674,2.2988434,1542627848683
1.4572906,1.6155396,2.2891846,1542627848718
1.1764374,1.746994,2.3348846,1542627848771
1.0709076,1.6412201,2.3263397,1542627848807
1.0324554,1.5510712,2.257248,1542627848832
0.95207214,1.4984131,2.154419,1542627848860
0.69299316,1.3699951,1.9330597,1542627848890
0.34165955,1.2333984,1.5930481,1542627848924
0.0056915283,0.9545593,1.0428925,1542627848984
-0.22810364,0.66685486,0.55003357,1542627849010
-0.67588806,0.31427002,-0.13414001,1542627849039
-0.8684845,0.104522705,-0.65808105,1542627849067
-0.8075104,0.1000824,-1.1351013,1542627849097
-0.8403015,0.13374329,-1.2162781,1542627849127
-0.7867279,0.0012054443,-1.0435181,1542627849187
-0.30836487,-0.13667297,-0.7393036,1542627849218
0.06561279,0.0011749268,-0.57315063,1542627849246
0.27850342,0.19862366,-0.3600006,1542627849278
0.20327759,0.32717896,-0.22052002,1542627849306
0.11590576,0.5191803,-0.034317017,1542627849337
0.33851624,0.68592834,0.21270752,1542627849366
0.48310852,0.7358246,0.40063477,1542627849424
0.48294067,0.77485657,0.6210785,1542627849460
0.41012573,0.7667389,0.79533386,1542627849483
0.33744812,0.74705505,1.0873718,1542627849512
0.5002289,0.5812378,1.3260498,1542627849546
0.5914459,0.25350952,1.4955444,1542627849572
0.18840027,-0.16885376,1.4717865,1542627849632
-0.1747284,-0.5091858,1.2748413,1542627849662
0.108947754,-0.66407776,1.2899628,1542627849691
0.7394409,-0.69932556,1.3309479,1542627849723
0.9207611,-0.74742126,1.2098083,1542627849750
0.47424316,-0.6609497,0.82177734,1542627849786
-0.22010803,-0.41333008,0.4812317,1542627849841
-0.41531372,-0.1829834,0.10858154,1542627849870
-0.18414307,-0.07914734,0.004486084,1542627849899
-0.32609558,0.045166016,-0.14657593,1542627849928
-0.30773926,0.14256287,-0.22912598,1542627849962
-0.067474365,0.17897034,-0.25212097,1542627849990
-0.118118286,0.09706116,-0.31744385,1542627850049
-0.3683319,0.07878113,-0.4080963,1542627850080
-0.33750916,0.11959839,-0.5997925,1542627850111
-0.2591095,0.16470337,-0.73535156,1542627850137
