x,y,z,ts
-19.0094,0.77819824,-16.139221,1542627846494
-17.637634,1.8432617,-20.018005,1542627846518
-17.236328,3.2058716,-19.755554,1542627846546
-15.875244,2.0690918,-21.620178,1542627846574
-14.596558,2.697754,-22.026062,1542627846605
-13.504028,2.2598267,-23.191833,1542627846636
-12.922668,2.836609,-22.85614,1542627846665
-12.088013,3.17688,-18.270874,1542627846724
-11.882019,2.1972656,-22.337341,1542627846754
-12.901306,1.9836426,-22.39685,1542627846784
-13.795471,1.3839722,-23.48938,1542627846814
-15.65094,0.13122559,-19.42749,1542627846841
-16.30249,0.3479004,-14.071655,1542627846879
-17.93518,0.105285645,-13.261414,1542627846933
-21.84143,4.2907715,-9.793091,1542627846961
-19.848633,-2.531433,-14.697266,1542627846990
-19.93866,-3.7948608,-7.473755,1542627847020
-20.251465,-4.6829224,-12.278748,1542627847053
-19.08722,-5.6274414,-9.799194,1542627847079
-18.826294,-3.1478882,-11.833191,1542627847139
-13.41095,-1.0299683,-5.441284,1542627847170
-20.037842,-4.5959473,-8.372498,1542627847199
-18.484497,-1.1245728,-12.313843,1542627847232
-18.032837,-4.1625977,-16.926575,1542627847258
-17.919922,-4.4174194,-17.26532,1542627847289
-19.065857,-4.18396,-7.3745728,1542627847348
-19.743347,-2.4902344,-1.8997192,1542627847375
-19.490051,-2.709961,-1.5899658,1542627847406
-18.170166,-1.6921997,-8.296204,1542627847434
-16.456604,-1.550293,-3.161621,1542627847480
-18.87207,-1.0757446,-10.824585,1542627847497
-17.137146,0.051879883,-8.601379,1542627847528
-16.049194,1.7318726,-9.361267,1542627847584
-17.097473,0.79956055,-9.606934,1542627847614
-22.442627,-3.42865,-9.492493,1542627847642
-18.595886,2.3086548,-12.898254,1542627847675
-19.502258,-1.0177612,-9.811401,1542627847702
-21.044922,-0.9460449,-9.21936,1542627847736
-19.044495,2.909851,-13.427734,1542627847795
-19.862366,2.6885986,-11.686707,1542627847822
-19.9234,2.3162842,-10.154724,1542627847854
-23.327637,2.4261475,-4.73938,1542627847880
-22.209167,0.692749,-3.529358,1542627847944
-22.691345,-2.2903442,-1.625061,1542627847944
-21.79718,-3.5263062,-0.94451904,1542627848001
-21.70868,-6.0409546,-4.359436,1542627848030
-22.377014,-8.6502075,-9.086609,1542627848059
-18.478394,-9.539795,-4.6813965,1542627848089
-19.865417,-10.565186,-0.9246826,1542627848121
-19.72351,-10.968018,-9.692383,1542627848148
-19.299316,-11.697388,-3.970337,1542627848210
-19.67926,-11.4151,1.0192871,1542627848240
-18.287659,-12.663269,-2.1209717,1542627848267
-17.837524,-12.04071,-10.263062,1542627848296
-20.158386,-12.2039795,-10.569763,1542627848325
-21.029663,-12.979126,-9.352112,1542627848359
-15.37323,-7.9101562,-6.036377,1542627848385
-15.888977,-6.8710327,-4.145813,1542627848443
-17.07306,-7.1014404,-7.772827,1542627848477
-19.734192,-9.32312,-12.255859,1542627848503
-21.434021,-10.194397,-13.328552,1542627848550
-23.457336,-9.87854,-12.559509,1542627848564
-24.417114,-12.139893,-10.684204,1542627848595
-23.739624,-12.306213,-0.28381348,1542627848653
-26.239014,-9.004211,-2.6474,1542627848684
-25.689697,-6.967163,-11.491394,1542627848721
-24.55597,-5.281067,-9.178162,1542627848741
-16.116333,-4.9819946,-8.421326,1542627848773
-18.974304,-4.0786743,-12.071228,1542627848807
-24.285889,-0.2319336,-17.089844,1542627848861
-22.30072,1.197815,-15.481567,1542627848890
-21.133423,1.6494751,-19.718933,1542627848925
-20.42694,1.8096924,-20.611572,1542627848952
-17.784119,2.557373,-21.45996,1542627848984
-17.201233,4.3060303,-17.266846,1542627849011
-19.319153,4.307556,-20.066833,1542627849039
-18.231201,6.5216064,-20.550537,1542627849099
-15.838623,2.7954102,-23.626709,1542627849128
-19.772339,-2.180481,-19.200134,1542627849169
-18.429565,3.7200928,-23.675537,1542627849188
-21.064758,2.3727417,-22.419739,1542627849218
-19.136047,2.960205,-24.415588,1542627849246
-17.480469,1.4526367,-21.33789,1542627849306
-16.740417,0.13275146,-18.434143,1542627849337
-21.699524,-0.6958008,-20.121765,1542627849366
-18.882751,2.8533936,-22.898865,1542627849394
-19.480896,4.423523,-18.507385,1542627849424
-15.32135,2.5924683,-20.431519,1542627849460
-12.591553,4.533386,-19.537354,1542627849512
-13.969421,3.2852173,-17.39502,1542627849547
-15.115356,3.8360596,-25.3891,1542627849572
-15.080261,5.963135,-28.329468,1542627849602
-14.480591,5.6243896,-25.341797,1542627849632
-14.697266,6.3476562,-23.00415,1542627849663
-12.608337,6.5704346,-22.253418,1542627849724
-13.475037,5.3497314,-22.79358,1542627849752
-11.956787,7.1289062,-27.931213,1542627849786
-10.667419,6.945801,-26.165771,1542627849809
-12.690735,6.1203003,-27.320862,1542627849842
-13.327026,6.277466,-25.314331,1542627849870
-13.3255005,5.6152344,-26.429749,1542627849899
-13.813782,6.9854736,-28.363037,1542627849967
-15.968323,3.5964966,-24.095154,1542627849990
-12.289429,7.13501,-27.07367,1542627850018
-16.375732,1.4480591,-22.120667,1542627850049
-11.036682,6.364441,-26.17035,1542627850080
-12.864685,7.2875977,-27.12555,1542627850112
-12.634277,7.147217,-27.285767,1542627850166
-12.44812,6.739807,-27.626038,1542627850201
-12.145996,6.9839478,-27.911377,1542627850229
-12.268066,6.8389893,-27.947998,1542627850255
-12.3046875,5.291748,-21.50879,1542627850286
-12.013245,1.9012451,-25.094604,1542627850320
-8.830261,1.7913818,-21.018982,1542627850378
