x,y,z,ts
22.00755,-5.406123,-5.6491747,1542367087483
17.778782,-3.5770535,-5.22684,1542367087492
14.814332,-2.3608148,-5.5112567,1542367087531
14.058099,-2.7542784,-6.05838,1542367087590
13.361785,-3.3881874,-6.740634,1542367087597
13.332776,-3.4213388,-6.680334,1542367087633
13.607693,-3.080232,-6.5188317,1542367087669
13.607693,-3.080232,-6.5188317,1542367087706
13.607693,-3.080232,-6.5188317,1542367087740
13.821249,-2.7580616,-6.5910683,1542367087772
18.521292,-2.2763813,-4.937898,1542367087824
23.98669,-2.7955968,-3.1625638,1542367087846
24.273249,-4.9613476,-0.68895435,1542367087879
19.240637,-2.74176,-1.8816657,1542367087915
22.00585,-1.1592333,-2.57443,1542367087951
22.6129,1.7297558,-4.752176,1542367087996
16.559406,-0.63308764,-5.490428,1542367088021
11.421109,-2.2420642,-3.8488426,1542367088057
10.118267,-2.3824105,-3.0828338,1542367088089
9.434562,-1.7619424,-1.3959179,1542367088125
11.15143,-1.1038465,-0.32700253,1542367088165
12.994456,-0.9609008,-0.70352554,1542367088196
16.583876,-0.792851,-0.40277767,1542367088229
17.907434,-0.4083047,-0.97933245,1542367088270
19.90759,0.43570328,-1.9158888,1542367088299
20.770706,0.7020569,-1.6567683,1542367088337
20.112322,0.9367697,-2.2472816,1542367088374
22.27064,0.2415247,-2.01196,1542367088406
24.214891,-2.941794,0.5826292,1542367088448
18.33939,-2.760285,-1.6280799,1542367088478
21.310602,-1.8472137,-2.2412705,1542367088513
26.60649,-1.4379601,-3.3432302,1542367088547
26.3901,-0.71119785,-4.8579783,1542367088583
21.385971,-0.2308979,-6.2256336,1542367088624
18.726624,-0.4848466,-6.1064043,1542367088651
18.726624,-0.4848466,-6.1064043,1542367088687
18.726624,-0.4848466,-6.1064043,1542367088724
18.726624,-0.4848466,-6.1064043,1542367088755
12.280086,0.37865257,-5.983856,1542367088794
13.075038,0.6598697,-6.838348,1542367088827
14.596751,0.5282905,-6.629633,1542367088861
18.090584,-0.28963804,-5.7492146,1542367088900
18.424221,-0.33860493,-4.6070657,1542367088940
19.180954,0.024888515,-2.3022227,1542367088969
25.537914,-0.9196758,-0.8474064,1542367089013
25.558104,-1.6800714,-0.055527687,1542367089042
18.91877,-1.5589261,0.4068575,1542367089080
22.036919,0.51809573,0.3923416,1542367089111
22.898626,2.579976,-2.7876596,1542367089155
18.180174,0.97679305,-3.5853367,1542367089213
13.698245,-0.4395523,-2.261384,1542367089232
12.580966,-0.9615979,-1.598259,1542367089252
12.48422,-0.61704016,0.25811958,1542367089286
11.678222,-0.24922037,-0.6255355,1542367089321
11.688308,-0.09701347,-0.62853384,1542367089360
12.866379,-0.34556723,0.12091923,1542367089396
14.151398,-0.70913076,0.13705349,1542367089434
16.171682,-1.8850942,-0.5654988,1542367089467
17.927256,-3.8359137,-1.3195448,1542367089502
18.436338,-5.3749228,-4.2710943,1542367089539
19.466047,-5.7074,-5.8566647,1542367089573
25.71682,-10.243636,-1.2516403,1542367089606
20.3818,-8.272314,-2.7075768,1542367089643
20.3818,-8.272314,-2.7075768,1542367089677
20.3818,-8.272314,-2.7075768,1542367089727
20.3818,-8.272314,-2.7075768,1542367089746
21.112843,-3.584713,-7.106368,1542367089781
18.040724,-1.9928651,-6.7598176,1542367089822
15.9588995,-1.4709196,-6.9700933,1542367089853
14.849203,-1.0581264,-7.1506944,1542367089892
12.817648,-0.9634855,-7.0093937,1542367089929
11.291074,-1.2580836,-4.810974,1542367089960
11.60897,-2.5428245,-3.9260259,1542367089996
10.832176,-8.618275,-2.9321551,1542367090030
10.919998,-8.248564,-3.232718,1542367090070
12.007144,-6.0935593,-1.1846905,1542367090111
13.881091,-6.1528296,1.73384,1542367090138
13.597986,-7.3813267,2.6030025,1542367090172
17.71488,-8.787232,1.4080954,1542367090209
22.578987,-10.597139,1.5236874,1542367090246
16.479052,-9.14833,-0.5659313,1542367090279
16.399708,-8.479468,-1.5950127,1542367090317
18.517801,-9.424441,-2.3871799,1542367090354
15.340752,-9.596531,-3.3199754,1542367090390
13.566084,-8.900757,-2.528717,1542367090424
11.712936,-7.5207434,-0.87194157,1542367090459
10.387025,-7.051944,-2.4875412,1542367090497
12.042444,-7.171642,-3.8062296,1542367090530
14.934204,-6.9936323,-4.2131305,1542367090569
16.10139,-6.739217,-3.3593502,1542367090601
16.375038,-4.949982,-2.5824904,1542367090636
16.375038,-4.949982,-2.5824904,1542367090670
16.375038,-4.949982,-2.5824904,1542367090705
16.375038,-4.949982,-2.5824904,1542367090740
16.520031,-4.8172708,-1.808456,1542367090774
14.575957,-2.2761946,-1.946393,1542367090814
15.528193,-2.3479774,-1.0907259,1542367090849
16.398775,-2.564861,-2.2241206,1542367090883
17.232397,-2.7413518,-2.8059688,1542367090918
18.24249,-2.6145368,-4.044301,1542367090961
18.565693,-2.1556802,-4.9121604,1542367090988
20.519972,-3.2088032,-4.5691123,1542367091023
19.569431,-4.651053,-3.774086,1542367091060
18.90232,-4.630233,-3.778675,1542367091096
18.390915,-4.2384644,-5.457122,1542367091140
18.763784,-5.079049,-6.859932,1542367091164
21.05199,-6.8717637,-5.814394,1542367091202
21.356556,-7.062095,-5.579352,1542367091237
20.247618,-6.670627,-6.7860885,1542367091274
19.688164,-6.645671,-6.981881,1542367091314
19.364092,-7.004943,-7.6468506,1542367091344
20.227697,-7.464039,-7.5363026,1542367091377
20.747782,-7.62484,-7.700737,1542367091420
20.984303,-9.0479765,-7.67177,1542367091452
21.672466,-11.104339,-8.284813,1542367091487
22.8417,-13.627341,-7.7445188,1542367091520
21.949963,-13.835,-6.5699906,1542367091557
20.910616,-13.7794075,-5.988081,1542367091591
18.96881,-13.862633,-6.042235,1542367091627
17.831347,-14.194666,-6.19049,1542367091661
17.831347,-14.194666,-6.19049,1542367091701
17.831347,-14.194666,-6.19049,1542367091731
12.647878,-10.328021,-6.1117687,1542367091770
5.0672665,-8.434797,-5.649581,1542367091801
4.864481,-9.228959,-3.8346577,1542367091843
3.778973,-10.875032,-5.1697774,1542367091877
3.1921747,-11.055706,-3.9722314,1542367091911
3.5651073,-11.689802,-2.0139065,1542367091948
3.3298576,-11.260804,-2.7865958,1542367092017
2.6258993,-14.1562605,-2.7149425,1542367092026
1.1570822,-14.4999895,-4.5325913,1542367092054
0.38373792,-15.342387,-5.9762187,1542367092088
1.490498,-16.251352,-5.548867,1542367092127
3.7319615,-13.6441,-5.306802,1542367092160
5.808365,-14.506311,-8.684419,1542367092196
3.4289248,-13.528391,-11.141788,1542367092233
3.1432343,-10.115303,-9.850034,1542367092266
3.1730447,-10.401566,-9.874323,1542367092324
4.2705956,-12.378046,-8.275985,1542367092337
4.1148124,-13.950943,-8.3468,1542367092387
2.567374,-12.817043,-9.161263,1542367092406
2.0581446,-12.393078,-9.256359,1542367092444
2.0179203,-9.54219,-9.255535,1542367092489
1.3916171,-11.198666,-6.7413607,1542367092516
0.11892773,-11.463825,-5.8407393,1542367092551
0.8821834,-13.483999,-3.392106,1542367092585
1.362085,-14.3029785,-4.257325,1542367092627
0.5786135,-14.09963,-4.1841984,1542367092665
0.5786135,-14.09963,-4.1841984,1542367092689
0.5786135,-14.09963,-4.1841984,1542367092732
-0.17576833,-13.90196,-2.274725,1542367092761
-0.84107465,-11.925095,-8.078489,1542367092795
-0.8315315,-11.128853,-7.3350396,1542367092832
-1.0859944,-11.928343,-8.953419,1542367092885
-1.5167187,-12.044506,-9.642695,1542367092900
-1.5456855,-10.536656,-8.281373,1542367092941
-2.3475282,-9.332348,-7.2528605,1542367092977
-2.6504803,-8.835837,-8.1832695,1542367093007
-1.4681754,-12.2506275,-6.6332674,1542367093058
-1.3503242,-10.979484,-6.3536015,1542367093079
-1.3506783,-11.753321,-5.1161175,1542367093117
-0.46989372,-12.140465,-3.6918106,1542367093150
1.1554722,-14.429998,-5.7965355,1542367093187
2.2718968,-16.205158,-3.5285072,1542367093221
1.7821825,-16.473835,-3.3089128,1542367093260
1.4880104,-14.451105,-5.0103884,1542367093293
0.39130875,-15.225635,-6.420018,1542367093335
