value,ts
994.9872,1542628639628
994.52844,1542628639643
995.00806,1542628639678
995.4242,1542628639714
995.62805,1542628639745
995.7368,1542628639779
995.52765,1542628639813
993.7235,1542628639852
993.9769,1542628639900
994.5699,1542628639919
994.5983,1542628639952
994.5222,1542628639992
994.4754,1542628640020
994.4311,1542628640057
994.4328,1542628640092
994.4586,1542628640124
994.494,1542628640158
994.5879,1542628640193
994.64276,1542628640227
994.43384,1542628640264
994.7661,1542628640296
995.03613,1542628640335
994.1388,1542628640365
994.6014,1542628640399
994.6185,1542628640436
994.6175,1542628640474
994.4423,1542628640504
994.43176,1542628640537
994.8628,1542628640616
994.6258,1542628640616
994.6937,1542628640696
994.24896,1542628640696
993.7245,1542628640709
994.3758,1542628640743
994.88416,1542628640793
995.1241,1542628640812
995.3915,1542628640847
995.59515,1542628640881
995.7554,1542628640917
995.64435,1542628640950
995.1986,1542628640996
994.73,1542628641020
994.4873,1542628641054
994.4049,1542628641089
994.36194,1542628641125
994.35803,1542628641163
993.9587,1542628641219
994.02734,1542628641226
992.2146,1542628641261
993.2455,1542628641295
994.1129,1542628641332
994.1484,1542628641364
994.28015,1542628641402
994.3574,1542628641434
994.5763,1542628641467
994.9662,1542628641502
994.96967,1542628641540
994.7514,1542628641570
993.5243,1542628641605
994.06995,1542628641639
994.4796,1542628641676
994.3874,1542628641740
994.3351,1542628641743
994.3047,1542628641779
993.8265,1542628641816
993.3617,1542628641853
994.0315,1542628641881
994.0184,1542628641917
994.1578,1542628641950
994.0901,1542628641991
993.8958,1542628642019
994.23456,1542628642058
994.50916,1542628642088
994.5955,1542628642122
994.32666,1542628642158
994.63306,1542628642194
994.7316,1542628642229
994.5858,1542628642263
994.8441,1542628642295
994.5094,1542628642330
994.6819,1542628642365
994.9617,1542628642400
994.9518,1542628642432
994.452,1542628642470
994.0712,1542628642501
994.5807,1542628642542
994.8437,1542628642572
994.8478,1542628642612
994.2246,1542628642640
994.5119,1542628642673
994.7998,1542628642708
994.79083,1542628642744
994.8449,1542628642809
995.0095,1542628642818
995.1613,1542628642847
995.42804,1542628642879
995.6294,1542628642914
995.7107,1542628642949
995.6386,1542628643083
995.569,1542628643083
995.7724,1542628643083
995.94324,1542628643087
996.08716,1542628643138
996.27856,1542628643155
996.22675,1542628643190
996.6874,1542628643253
996.9212,1542628643260
996.8672,1542628643293
996.78436,1542628643335
996.336,1542628643363
996.20953,1542628643397
996.50287,1542628643431
996.505,1542628643468
996.1092,1542628643501
996.2422,1542628643542
996.3545,1542628643569
996.27234,1542628643603
996.23425,1542628643639
996.013,1542628643676
996.0471,1542628643715
995.4177,1542628643741
995.2864,1542628643776
995.3366,1542628643811
993.3664,1542628643846
993.8052,1542628643897
994.00903,1542628643915
993.5636,1542628643989
993.5332,1542628643991
993.809,1542628644017
994.349,1542628644108
994.8267,1542628644108
995.02466,1542628644123
993.89355,1542628644155
994.1856,1542628644193
994.6172,1542628644226
994.59436,1542628644258
994.6161,1542628644294
993.938,1542628644331
994.01044,1542628644367
994.6199,1542628644399
995.08875,1542628644430
995.42737,1542628644466
995.6833,1542628644503
995.4004,1542628644537
994.4435,1542628644568
994.64435,1542628644607
994.71783,1542628644637
993.90967,1542628644674
993.3488,1542628644769
993.73,1542628644769
993.9417,1542628644778
993.88,1542628644809
993.85455,1542628644844
993.14514,1542628644882
993.53284,1542628644930
993.87524,1542628645004
993.88983,1542628645004
993.5647,1542628645018
993.94977,1542628645062
994.11035,1542628645085
993.9199,1542628645119
990.35254,1542628645154
992.3255,1542628645189
994.0407,1542628645223
993.70386,1542628645271
993.7277,1542628645292
993.9055,1542628645326
993.9955,1542628645362
994.0825,1542628645396
994.01465,1542628645439
994.1885,1542628645466
994.4126,1542628645499
994.1066,1542628645552
994.2311,1542628645574
994.1324,1542628645607
994.20856,1542628645636
994.4566,1542628645673
994.62805,1542628645713
995.30804,1542628645762
995.894,1542628645775
996.0289,1542628645814
994.85504,1542628645843
994.5583,1542628645877
994.3795,1542628645914
994.8043,1542628645946
994.66925,1542628645981
993.9507,1542628646021
994.27325,1542628646049
993.72473,1542628646086
993.9184,1542628646120
992.984,1542628646153
993.26953,1542628646188
991.3506,1542628646223
992.984,1542628646264
994.0296,1542628646290
993.601,1542628646326
993.27155,1542628646361
993.39325,1542628646424
993.5683,1542628646440
993.7362,1542628646472
993.6449,1542628646497
993.93097,1542628646533
993.8828,1542628646567
994.5924,1542628646601
994.9072,1542628646638
994.6331,1542628646672
994.75336,1542628646722
994.52966,1542628646778
993.95447,1542628646778
993.98694,1542628646815
994.38,1542628646845
994.0922,1542628646879
993.88983,1542628646912
993.67865,1542628646949
993.5658,1542628646980
993.36755,1542628647022
993.52563,1542628647049
993.9768,1542628647091
994.23505,1542628647117
993.584,1542628647152
993.5804,1542628647192
993.89075,1542628647221
994.8894,1542628647256
995.1988,1542628647326
994.44824,1542628647326
994.25586,1542628647375
993.4602,1542628647396
993.1848,1542628647428
993.84283,1542628647463
994.03186,1542628647499
994.0127,1542628647537
994.02106,1542628647787
994.02106,1542628647787
994.1,1542628647787
994.17523,1542628647787
994.19165,1542628647788
994.22766,1542628647788
994.3793,1542628647788
994.53906,1542628647833
994.7522,1542628647843
994.3929,1542628647876
994.6344,1542628647910
994.4887,1542628647947
994.7822,1542628647984
995.00525,1542628648019
994.56244,1542628648048
994.4413,1542628648082
994.5698,1542628648118
994.5139,1542628648156
993.9341,1542628648189
994.1118,1542628648221
994.3408,1542628648255
994.3762,1542628648290
994.3885,1542628648324
993.7749,1542628648366
994.24475,1542628648448
993.64813,1542628648448
994.0352,1542628648462
994.64825,1542628648496
994.80994,1542628648530
994.70856,1542628648565
994.615,1542628648607
994.8734,1542628648635
995.0836,1542628648671
995.17664,1542628648704
995.16595,1542628648737
994.9601,1542628648784
994.9797,1542628648808
994.88,1542628648841
994.86456,1542628648879
994.68085,1542628648909
994.74866,1542628648944
994.87976,1542628648979
994.8825,1542628649017
995.16956,1542628649049
