x,y,z,ts
0.13673401,0.28683472,-0.46374512,1542628639584
0.028945923,0.36849976,-0.6072693,1542628639628
0.038528442,0.44439697,-0.8273468,1542628639641
0.118759155,0.4050598,-1.085434,1542628639725
0.027893066,0.3331604,-1.3201904,1542628639730
-0.1278534,0.3677826,-1.4878998,1542628639758
0.08830261,0.34024048,-1.5942993,1542628639789
0.12698364,0.41210938,-1.52594,1542628639819
-0.037231445,0.600708,-1.2791901,1542628639848
-0.05659485,0.69480896,-1.0621338,1542628639879
0.019378662,0.72062683,-1.0361176,1542628639909
-0.036514282,0.8359375,-1.0868225,1542628639969
-0.17802429,1.0114899,-1.2007904,1542628639996
-0.3759308,1.070404,-1.291336,1542628640027
-0.6603546,1.0052795,-1.3049927,1542628640057
-0.7740021,0.84117126,-1.2062988,1542628640090
-0.771286,0.6426697,-1.0676117,1542628640117
-0.7223511,0.37812805,-0.80236816,1542628640174
-0.6830597,0.15081787,-0.53349304,1542628640209
-0.5070038,-0.19544983,-0.12916565,1542628640234
-0.25178528,-0.52841187,0.23136902,1542628640264
0.14646912,-0.8915863,0.64004517,1542628640292
0.38494873,-1.0830231,0.9312897,1542628640325
0.25126648,-1.1441956,0.9949646,1542628640383
0.2614441,-1.1667938,1.0971527,1542628640411
0.74946594,-1.1506348,1.4097595,1542628640445
1.3785553,-1.1399384,1.7386932,1542628640473
1.5410156,-0.96513367,1.6728058,1542628640501
1.5486145,-0.58558655,1.4810944,1542628640532
1.526535,-0.0134887695,1.1633453,1542628640663
1.308136,0.35939026,0.8894043,1542628640664
0.73625183,0.6174011,0.5338745,1542628640664
0.4684143,0.68022156,0.2965393,1542628640712
0.3471527,0.64312744,0.0748291,1542628640712
0.31817627,0.5311279,-0.15989685,1542628640740
0.19485474,0.4071808,-0.39163208,1542628640768
0.07777405,0.26741028,-0.60362244,1542628640827
0.09642029,0.14416504,-0.76023865,1542628640859
-0.17501831,-0.08265686,-1.0917511,1542628640885
-0.46583557,-0.21244812,-1.3413544,1542628640915
-0.64024353,-0.15852356,-1.4241638,1542628640945
-0.77871704,-0.10757446,-1.1837158,1542628640994
-0.91851807,-0.08406067,-0.8977356,1542628641037
-0.55096436,-0.044143677,-0.6018982,1542628641067
-0.17607117,0.057403564,-0.4745636,1542628641097
-0.21195984,0.2310791,-0.53131104,1542628641123
-0.27648926,0.3388977,-0.5159607,1542628641164
-0.29917908,0.33076477,-0.2937317,1542628641217
-0.39042664,0.1844635,0.11973572,1542628641244
-0.364151,0.06388855,0.45106506,1542628641275
-0.12828064,-0.06677246,0.90068054,1542628641303
-0.0362854,-0.16279602,1.2136993,1542628641332
-0.25813293,-0.2650299,1.4878082,1542628641363
-0.15701294,-0.12954712,1.6739807,1542628641391
0.27398682,-0.027252197,1.7611694,1542628641450
0.119659424,-0.30270386,1.4719543,1542628641484
-0.548996,-0.37904358,1.2335205,1542628641511
-0.016571045,-0.44544983,0.90896606,1542628641540
0.4751892,-0.29501343,0.82533264,1542628641568
0.55703735,-0.2154541,0.7472534,1542628641602
-0.083099365,0.022262573,0.5450592,1542628641658
-0.36653137,0.17121887,0.6516876,1542628641689
-0.389328,0.1835022,0.7320709,1542628641740
-0.018692017,-0.041809082,0.81036377,1542628641746
0.44621277,-0.27772522,0.7347107,1542628641778
0.51820374,-0.36584473,0.6760559,1542628641808
0.26359558,-0.36946106,0.20100403,1542628641837
-0.40437317,-0.3731537,-0.22872925,1542628641898
-0.6833801,-0.33596802,-0.46568298,1542628641923
-0.7445984,-0.32292175,-0.72332764,1542628641956
-1.4880066,-0.25379944,-0.8623047,1542628641990
-1.5447693,-0.23893738,-0.8796234,1542628642013
-1.0128784,0.046081543,-0.59010315,1542628642047
-0.5330963,0.376297,-0.66452026,1542628642106
-0.33270264,0.35656738,-0.6323242,1542628642135
-0.7706909,0.103881836,-0.60276794,1542628642163
-0.43867493,0.1512146,-1.0574188,1542628642194
-0.35473633,0.2748413,-1.0163422,1542628642228
-0.72532654,0.2234497,-1.106842,1542628642253
-0.49328613,0.56362915,-1.2627106,1542628642311
-0.10748291,0.7939453,-1.1731415,1542628642343
-0.08467102,0.78500366,-1.1661987,1542628642372
-0.22427368,0.90382385,-1.393692,1542628642400
-0.16778564,0.9125824,-1.5537415,1542628642428
-0.035354614,0.9023895,-1.6185303,1542628642460
0.015945435,0.94566345,-1.5748444,1542628642519
0.13015747,1.0316467,-1.4499817,1542628642547
0.20506287,1.0160675,-1.281662,1542628642578
0.502182,1.1577759,-1.1829529,1542628642608
0.54145813,1.2465668,-1.0868225,1542628642639
0.5201111,1.2704926,-1.0359802,1542628642665
0.4552765,1.3417358,-0.9131317,1542628642697
0.47000122,1.4202881,-0.77879333,1542628642759
0.67063904,1.3390198,-0.7502136,1542628642813
0.7354126,1.2387085,-0.6767273,1542628642817
0.819458,1.0540009,-0.5961609,1542628642844
0.78152466,0.8716736,-0.7894592,1542628642876
1.2387085,0.6977234,-1.066925,1542628642903
1.5501251,0.44392395,-1.3787994,1542628643082
0.7285156,0.3249817,-1.3933716,1542628643082
0.49749756,0.10736084,-1.299408,1542628643082
0.2810974,-0.02607727,-1.3414001,1542628643082
0.5117035,-0.048538208,-1.3513031,1542628643083
0.51509094,-0.1088562,-1.4259186,1542628643138
0.50157166,-0.32557678,-1.4779053,1542628643171
0.84358215,-0.6438751,-1.3925781,1542628643247
0.6776581,-0.87828064,-1.2155457,1542628643247
0.33676147,-1.0240173,-1.1019745,1542628643258
-0.12712097,-1.0157318,-1.0972748,1542628643289
-0.3632202,-1.0174713,-1.0833282,1542628643319
-0.41671753,-1.0614319,-1.0062866,1542628643379
-0.38557434,-1.1039429,-0.9481201,1542628643409
-0.3039093,-1.1067352,-0.81967163,1542628643440
-0.302948,-1.0614166,-0.75390625,1542628643467
-0.3418579,-1.0011597,-0.71066284,1542628643498
-0.20021057,-0.94436646,-0.6697998,1542628643527
-0.14221191,-0.81614685,-0.60424805,1542628643556
-0.2586975,-0.5178833,-0.5849762,1542628643617
-0.1904602,-0.3098297,-0.5588074,1542628643645
-0.011871338,-0.09341431,-0.4236908,1542628643675
0.1563263,0.14385986,-0.30784607,1542628643715
0.10517883,0.5138397,-0.20643616,1542628643737
-0.47642517,0.715683,0.022506714,1542628643764
-1.0026703,0.9813843,0.5574341,1542628643823
-1.3805847,1.2319641,1.1986389,1542628643855
-2.0885468,1.4059753,1.640152,1542628643897
-3.6749268,1.7191772,2.654007,1542628643912
-4.4851227,1.6816101,3.607071,1542628643988
-4.866516,1.2484131,4.291809,1542628643988
-4.5787506,0.4698944,4.0283813,1542628644033
-4.673828,-0.5627899,3.6858978,1542628644108
-3.5580444,-1.6362305,3.2940216,1542628644108
-2.253189,-1.9736633,3.004303,1542628644124
-0.07546997,-2.0105133,2.3274841,1542628644149
1.0604858,-1.9062042,1.6689911,1542628644184
0.97636414,-1.9102173,1.3094788,1542628644241
0.30986023,-1.9745178,1.1193085,1542628644268
0.20498657,-1.6681824,1.0321503,1542628644298
0.71751404,-0.88067627,0.7551117,1542628644332
0.97843933,-0.2925415,0.6014862,1542628644360
0.7177887,0.049041748,0.42884827,1542628644388
0.32783508,0.3221283,0.15548706,1542628644417
-0.17649841,0.65945435,-0.04260254,1542628644477
-0.20744324,1.1556244,-0.101364136,1542628644513
-0.2799225,1.4950562,0.040374756,1542628644537
