x,y,z,ts
-12.513733,11.695862,-23.01941,1542628639584
-12.188721,9.761047,-21.382141,1542628639641
-12.335205,11.209106,-19.602966,1542628639726
-19.143677,7.6644897,-16.618347,1542628639726
-16.233826,8.268738,-20.596313,1542628639730
-11.320496,8.807373,-24.507141,1542628639760
-13.639832,9.103394,-24.789429,1542628639790
-13.877869,7.824707,-24.736023,1542628639851
-14.225769,6.022644,-25.668335,1542628639880
-14.181519,6.236267,-24.812317,1542628639911
-14.381409,4.7683716,-24.485779,1542628639937
-13.525391,4.660034,-26.644897,1542628639969
-12.173462,3.5385132,-26.985168,1542628639997
-12.083435,3.1448364,-28.334045,1542628640057
-11.871338,3.7948608,-28.413391,1542628640091
-10.916138,3.9154053,-28.01361,1542628640122
-10.987854,3.6895752,-28.379822,1542628640144
-9.104919,5.5786133,-28.637695,1542628640175
-10.205078,5.5145264,-28.42102,1542628640209
-11.659241,6.4224243,-27.825928,1542628640264
-10.136414,5.5786133,-28.974915,1542628640293
-11.0824585,6.5093994,-27.627563,1542628640327
-12.332153,6.100464,-26.934814,1542628640352
-12.908936,5.3710938,-26.971436,1542628640384
-14.730835,8.467102,-25.498962,1542628640412
-7.8430176,9.088135,-18.728638,1542628640445
-13.026428,6.1279297,-23.478699,1542628640505
-12.65564,3.2806396,-18.338013,1542628640532
-15.307617,4.714966,-20.137024,1542628640615
-12.34436,9.146118,-22.854614,1542628640615
-12.835693,6.425476,-25.186157,1542628640623
-12.34436,4.7286987,-27.48108,1542628640696
-9.869385,4.1641235,-18.589783,1542628640708
-10.240173,4.3563843,-19.944763,1542628640741
-14.518738,6.4483643,-24.891663,1542628640768
-12.051392,3.239441,-23.594666,1542628640803
-9.616089,4.0481567,-17.567444,1542628640827
-9.388733,2.8884888,-23.110962,1542628640860
-9.973145,2.1438599,-20.379639,1542628640916
-11.112976,4.8599243,-23.873901,1542628640946
-11.279297,6.7276,-23.986816,1542628640994
-9.753418,2.0126343,-30.110168,1542628641005
-11.325073,3.1692505,-24.639893,1542628641039
-9.95636,5.407715,-29.463196,1542628641067
-9.210205,3.187561,-23.809814,1542628641125
-8.895874,0.3768921,-23.62976,1542628641164
-9.051514,5.1345825,-21.391296,1542628641217
-8.938599,4.750061,-24.786377,1542628641218
