sensor_id,sensor_status,ts,subject_id
R7,"ON",1542365757364,"203"
R7,"OFF",1542365762337,"203"
R1,"ON",1542365795102,"203"
R1,"OFF",1542365801483,"203"
R1,"ON",1542365819216,"203"
R1,"OFF",1542365826243,"203"
R2,"ON",1542365828740,"203"
R2,"OFF",1542365832705,"203"
R2,"ON",1542365848490,"203"
R2,"OFF",1542365850399,"203"
P3,"ON",1542365870041,"203"
E2,"ON",1542365877314,"203"
E2,"OFF",1542365976310,"203"
P3,"OFF",1542365981427,"203"
R6,"ON",1542366044906,"203"
R6,"OFF",1542366048986,"203"
R6,"ON",1542366059563,"203"
R6,"OFF",1542366062703,"203"
