x,y,z,ts
15.270496,-1.7780216,-6.749474,1542365659147
17.556835,-3.5379956,-5.3047395,1542365659170
16.91092,-4.4496756,-2.7752447,1542365659201
15.19471,-4.411232,-3.3111715,1542365659263
19.107834,-6.1087484,-3.2416506,1542365659271
16.118393,-9.269024,-1.4225502,1542365659307
21.274385,-7.7231817,-1.8189983,1542365659357
23.3914,-6.29568,-3.1329184,1542365659379
18.261112,-3.8264647,-3.191039,1542365659413
16.329323,-3.9695377,-2.472249,1542365659458
15.18097,-3.010592,-3.026085,1542365659486
15.610664,-1.6820062,-4.624614,1542365659521
17.317146,-1.358114,-4.147315,1542365659558
16.619415,-1.3258953,-4.8868985,1542365659592
16.589888,-0.97216356,-4.7543325,1542365659632
14.784181,0.0471071,-4.612297,1542365659668
17.40477,2.422853,-4.811273,1542365659746
17.65923,3.763236,-6.613051,1542365659747
18.041958,3.729957,-6.3167315,1542365659778
15.99152,2.743491,-4.620673,1542365659808
16.530218,1.559257,-5.2982078,1542365659840
20.079605,0.96698403,-7.440078,1542365659876
20.86469,-0.28409076,-8.066112,1542365659910
23.142109,-1.0261245,-7.089425,1542365659949
23.142109,-1.0261245,-7.089425,1542365659984
23.142109,-1.0261245,-7.089425,1542365660015
23.142109,-1.0261245,-7.089425,1542365660057
22.85997,-3.1211145,-8.148198,1542365660085
21.653227,-1.9958377,-7.636239,1542365660128
20.230207,-1.1475463,-8.2907095,1542365660156
20.220259,-1.6976182,-8.259994,1542365660191
19.729483,-1.8494658,-8.550925,1542365660230
19.62137,-1.591413,-8.722276,1542365660274
19.090988,-0.87735367,-8.047969,1542365660297
17.883335,-0.38807225,-7.4847164,1542365660340
17.471226,0.14025688,-6.9341545,1542365660374
16.902275,0.5186627,-6.581469,1542365660407
16.421946,0.101171255,-6.0252056,1542365660442
15.950876,0.22912169,-6.0613947,1542365660479
14.753336,0.3569975,-6.3560247,1542365660529
13.613185,0.06723547,-6.0103254,1542365660569
15.008809,-0.98461866,-4.3398886,1542365660590
17.895533,-1.6870134,-2.3152275,1542365660624
18.179762,-1.4830356,-2.506905,1542365660656
17.521511,-0.4930222,-2.8499174,1542365660692
20.013746,0.61613226,-2.3173885,1542365660726
22.654036,-0.78664947,-1.1557369,1542365660762
20.133244,-0.5939164,-1.4228911,1542365660797
21.861065,-1.4787879,1.0170145,1542365660836
21.79282,-2.025568,0.87546825,1542365660870
15.662046,-1.865974,-1.1490045,1542365660906
12.700703,-2.574029,-1.183991,1542365660954
12.700703,-2.574029,-1.183991,1542365660976
12.700703,-2.574029,-1.183991,1542365661017
12.700703,-2.574029,-1.183991,1542365661047
20.50572,-4.0462203,-5.021657,1542365661087
21.132656,-4.182023,-7.7987356,1542365661150
21.260101,-4.965937,-8.193962,1542365661155
20.08279,-5.396179,-8.207407,1542365661195
18.68932,-5.8196526,-8.658889,1542365661226
18.061022,-6.690476,-9.451908,1542365661312
17.81584,-7.564904,-10.013459,1542365661312
20.709923,-8.267736,-11.655751,1542365661341
22.966763,-9.426674,-12.718582,1542365661377
22.51566,-9.785832,-12.528367,1542365661413
21.220257,-9.894451,-12.136631,1542365661449
19.375023,-9.95718,-11.784247,1542365661478
17.118267,-10.060133,-11.533618,1542365661536
16.667084,-9.962059,-11.433688,1542365661551
16.922884,-10.26183,-10.802115,1542365661594
