value,ts
1011.2,1542365659148
1011.21,1542365659184
1011.23,1542365659263
1011.29,1542365659284
1011.29,1542365659356
1011.32,1542365659384
1011.33,1542365659455
1011.33,1542365659502
1011.29,1542365659547
1011.25,1542365659592
1011.22,1542365659641
1011.21,1542365659772
1011.2,1542365659772
1011.2,1542365659788
1011.22,1542365659844
1011.22,1542365659893
1011.23,1542365659947
1011.24,1542365659992
1011.23,1542365660044
1011.23,1542365660118
1011.23,1542365660152
1011.26,1542365660200
1011.28,1542365660249
1011.28,1542365660292
1011.27,1542365660345
1011.27,1542365660394
1011.28,1542365660448
1011.26,1542365660500
1011.27,1542365660571
1011.27,1542365660603
1011.27,1542365660673
1011.29,1542365660714
1011.3,1542365660758
1011.32,1542365660804
1011.34,1542365660855
1011.32,1542365660917
1011.3,1542365660960
1011.28,1542365661010
1011.23,1542365661057
1011.23,1542365661150
1011.24,1542365661160
1011.22,1542365661218
1011.2,1542365661275
1011.18,1542365661344
1011.19,1542365661375
1011.22,1542365661440
1011.22,1542365661469
1011.2,1542365661536
1011.21,1542365661573
1011.21,1542365661630
1011.21,1542365661683
1011.25,1542365661730
1011.25,1542365661779
1011.33,1542365661835
1011.38,1542365661890
1011.48,1542365661931
1011.5,1542365661983
1011.45,1542365662033
1011.35,1542365662088
1011.31,1542365662136
1011.29,1542365662182
1011.28,1542365662235
1011.26,1542365662287
1011.3,1542365662344
1011.34,1542365662401
1011.43,1542365662438
1011.46,1542365662485
1011.49,1542365662537
1011.48,1542365662589
1011.32,1542365662644
1011.22,1542365662696
1011.15,1542365662745
1011.04,1542365662852
1010.99,1542365662852
1010.98,1542365662895
1010.97,1542365662944
1011.0,1542365662997
1011.07,1542365663043
1011.12,1542365663104
1011.19,1542365663144
1011.2,1542365663204
1011.21,1542365663251
1011.22,1542365663298
1011.21,1542365663355
1011.21,1542365663399
1011.22,1542365663453
1011.21,1542365663505
1011.2,1542365663553
1011.21,1542365663604
1011.22,1542365663654
1011.27,1542365663703
1011.28,1542365663755
1011.27,1542365663807
1011.26,1542365663857
1011.27,1542365663909
1011.28,1542365663960
1011.28,1542365664008
1011.28,1542365664058
1011.26,1542365664108
1011.24,1542365664160
1011.25,1542365664207
1011.24,1542365664281
1011.25,1542365664310
1011.27,1542365664360
