ts_start,ts_end,act
1542365659147,1542365689809,TRANSITION
1542365689818,1542365747115,ANSWERING_PHONE
1542365747124,1542365755427,TRANSITION
1542365755432,1542365852746,PREPARING_COLD_MEAL
1542365852764,1542365866769,TRANSITION
1542365866791,1542365962603,WATCHING_TV
1542365962619,1542365969020,TRANSITION
1542365969037,1542365975082,WATCHING_TV
1542365975142,1542365978804,TRANSITION
1542365978820,1542366042546,ANSWERING_PHONE
1542366042550,1542366044279,TRANSITION
1542366044283,1542366062821,TAKING_MEDICINES
1542366062835,1542366073796,TRANSITION
1542366073802,1542366089985,LEAVING_HOME
