x,y,z,ts
-0.13006592,-0.8925171,-0.30717468,1542626105555
0.14724731,-0.75050354,-0.41200256,1542626105555
0.46084595,-0.6725769,-0.42910767,1542626105555
0.45246887,-0.61283875,-0.33570862,1542626105582
0.274765,-0.4373932,-0.18966675,1542626105611
0.007949829,-0.3090515,-0.12211609,1542626105694
-0.28793335,-0.27168274,-0.15509033,1542626105699
-0.7317505,-0.24060059,-0.23704529,1542626105785
-0.8163605,-0.14840698,-0.291687,1542626105785
-0.9489441,0.031555176,-0.2468872,1542626105790
-1.237854,0.26792908,-0.1378479,1542626105824
-1.6868134,0.44750977,-0.058029175,1542626105848
-2.2359009,0.82710266,0.18379211,1542626105877
-2.6439514,1.0131836,0.4091339,1542626105938
-2.61438,1.0341797,0.6367645,1542626105967
-2.033966,1.0733185,0.7030029,1542626105996
-1.4962006,0.7006836,0.73594666,1542626106028
-1.1278839,0.63061523,0.73243713,1542626106058
-0.98869324,0.7136383,0.7674408,1542626106086
-0.933136,0.67118835,0.7985077,1542626106147
-0.79792786,0.49183655,0.8218231,1542626106176
-0.6235199,0.2534485,0.8317108,1542626106206
-0.32919312,0.10682678,0.71066284,1542626106236
0.32939148,-0.0382843,0.466568,1542626106264
0.6881561,-0.20114136,0.26361084,1542626106294
0.7060852,-0.31741333,0.106658936,1542626106403
0.6588745,-0.5232544,-0.043258667,1542626106403
0.6596985,-0.7105255,-0.13842773,1542626106415
0.65779114,-0.7117157,-0.17927551,1542626106447
0.41970825,-0.66018677,-0.04953003,1542626106473
0.114593506,-0.52368164,0.31704712,1542626106551
0.0181427,-0.22181702,0.6105499,1542626106551
0.17301941,-0.40463257,0.47062683,1542626106609
0.50157166,-0.5983429,0.02407837,1542626106623
0.47135925,-0.5677948,-0.16566467,1542626106651
0.29135132,-0.4638977,0.04423523,1542626106690
0.4180603,-0.36701965,0.08728027,1542626106712
0.69477844,-0.47183228,-0.19146729,1542626106741
0.7751465,-0.62768555,-0.5334015,1542626106799
0.5600128,-0.6252899,-0.6616516,1542626106832
0.17678833,-0.38252258,-0.57328796,1542626106860
-0.15310669,-0.29881287,-0.40193176,1542626106908
-0.2797699,-0.23829651,-0.25682068,1542626106920
-0.0975647,-0.15571594,-0.28990173,1542626106949
-0.078689575,-0.10873413,-0.3414917,1542626106979
-0.30023193,-0.04020691,-0.35639954,1542626107039
-0.51838684,0.05821228,-0.30615234,1542626107069
-0.722229,0.14837646,-0.2590332,1542626107098
-0.7093506,0.20272827,-0.25959778,1542626107131
-0.5831299,0.24353027,-0.29878235,1542626107166
-0.43493652,0.30526733,-0.33442688,1542626107187
-0.37283325,0.39108276,-0.3336029,1542626107248
-0.6740875,0.51345825,-0.25471497,1542626107277
-0.894928,0.571579,-0.20869446,1542626107307
-0.89860535,0.72631836,-0.15055847,1542626107336
-0.9879761,0.7688751,-0.028884888,1542626107369
-1.0404816,0.6876831,0.19345093,1542626107488
-0.7431793,0.5956726,0.3883667,1542626107488
-0.09951782,0.50154114,0.39183044,1542626107488
0.48832703,0.39164734,0.30259705,1542626107515
0.6439667,0.43501282,0.32200623,1542626107638
0.8157959,0.48857117,0.3644104,1542626107638
0.68955994,0.4886322,0.4344635,1542626107639
0.71195984,0.4307251,0.4415741,1542626107639
0.61816406,0.30636597,0.3203888,1542626107790
0.46139526,0.1743927,0.22714233,1542626107791
0.32351685,0.0048675537,0.14585876,1542626107791
0.13056946,-0.14320374,0.060302734,1542626107791
-0.018981934,-0.32621765,-0.04547119,1542626107815
0.1341095,-0.49905396,-0.12432861,1542626107842
0.3327179,-0.59373474,-0.12722778,1542626107901
0.14190674,-0.444458,0.22602844,1542626107932
0.012283325,-0.020385742,0.65138245,1542626107965
0.28538513,-0.2172699,0.54167175,1542626107994
0.29312134,-0.3449707,0.38949585,1542626108027
0.29692078,-0.17041016,0.32496643,1542626108051
0.9405365,-0.34739685,0.24032593,1542626108109
1.2000885,-0.31575012,0.36958313,1542626108141
1.7175903,-0.3932495,0.1929779,1542626108170
1.958252,-0.4374237,-0.06544495,1542626108202
1.3606415,-0.40060425,-0.2516632,1542626108229
0.960968,-0.0370636,-0.23486328,1542626108259
0.57751465,0.47486877,-0.021850586,1542626108294
0.022064209,0.71325684,0.26080322,1542626108351
-0.027709961,0.74443054,0.38520813,1542626108380
0.13565063,0.7866516,0.42126465,1542626108409
0.21083069,0.7638855,0.37078857,1542626108536
0.6257782,0.81204224,0.19894409,1542626108536
0.9246521,0.87298584,0.07382202,1542626108536
0.8773804,0.8845062,0.0750885,1542626108557
0.78170776,1.039444,0.2001648,1542626108587
0.33769226,1.2111359,0.41601562,1542626108619
-0.5762787,1.1737366,0.69755554,1542626108645
