ts_start,ts_end,location
1542626105549,1542626109189,OUT
1542626109212,1542626120082,HALL
1542626120153,1542626123198,KITCHEN
1542626123210,1542626126795,HALL
1542626126928,1542626130934,MEDICINE_AREA
1542626131105,1542626134720,HALL
1542626134738,1542626140920,MEDICINE_AREA
1542626140948,1542626147640,HALL
1542626147752,1542626153291,MEDICINE_AREA
1542626153327,1542626159501,HALL
1542626159609,1542626166661,MEDICINE_AREA
1542626166695,1542626173239,HALL
1542626173333,1542626183328,MEDICINE_AREA
1542626183332,1542626187586,HALL
1542626187666,1542626192224,MEDICINE_AREA
1542626192238,1542626194200,LIVING_ROOM
1542626194222,1542626198862,MEDICINE_AREA
1542626198873,1542626204511,HALL
1542626204524,1542626214693,MEDICINE_AREA
1542626214724,1542626221318,HALL
1542626221404,1542626226729,MEDICINE_AREA
1542626226730,1542626229101,HALL
1542626229127,1542626310317,KITCHEN
1542626310322,1542626311621,HALL
1542626311642,1542626312928,MEDICINE_AREA
1542626312952,1542626418606,LIVING_ROOM
1542626418625,1542626425015,MEDICINE_AREA
1542626425035,1542626426034,HALL
1542626426159,1542626431199,MEDICINE_AREA
1542626431213,1542626434955,LIVING_ROOM
1542626434982,1542626441916,MEDICINE_AREA
1542626441926,1542626444923,HALL
1542626444946,1542626448564,MEDICINE_AREA
1542626448569,1542626450439,LIVING_ROOM
1542626450546,1542626455799,MEDICINE_AREA
1542626455812,1542626462157,HALL
1542626462174,1542626472821,MEDICINE_AREA
1542626472834,1542626477403,HALL
1542626477545,1542626478384,KITCHEN
1542626478402,1542626480399,HALL
1542626480428,1542626488531,MEDICINE_AREA
1542626488706,1542626495973,HALL
1542626495998,1542626521061,MEDICINE_AREA
1542626521091,1542626532185,HALL
1542626532556,1542626541306,OUT
