x,y,z,ts
-24.25232,2.4673462,-6.893921,1542626105556
-23.057556,2.8442383,-13.644409,1542626105556
-23.265076,1.8615723,-14.024353,1542626105556
-23.753357,1.4724731,-14.028931,1542626105582
-23.156738,1.7471313,-11.723328,1542626105612
-22.975159,1.7410278,-13.48114,1542626105694
-23.977661,1.1901855,-14.039612,1542626105699
-23.292542,1.3839722,-12.928772,1542626105786
-25.07019,0.3753662,-9.945679,1542626105786
-25.965881,-1.991272,-8.596802,1542626105790
-23.773193,2.7801514,-8.634949,1542626105826
-24.720764,3.1646729,-10.369873,1542626105848
-25.759888,1.3046265,-13.661194,1542626105880
-28.55072,4.978943,-11.904907,1542626105938
-25.741577,3.3340454,-15.579224,1542626105968
-23.678589,4.211426,-14.871216,1542626105998
-24.935913,4.7317505,-17.503357,1542626106029
-25.93689,5.0994873,-18.74237,1542626106058
-25.654602,6.9259644,-12.294006,1542626106089
-25.617981,7.688904,-19.720459,1542626106147
-26.283264,9.408569,-12.669373,1542626106176
-25.479126,15.307617,-14.292908,1542626106207
-26.58081,13.845825,-17.036438,1542626106236
-25.170898,10.569763,-17.07611,1542626106264
-24.259949,11.6744995,-19.273376,1542626106296
-25.78888,12.150574,-20.767212,1542626106403
-25.463867,14.486694,-18.6203,1542626106403
-25.479126,12.132263,-19.784546,1542626106415
-24.848938,10.697937,-20.544434,1542626106448
-28.48816,10.816956,-13.024902,1542626106473
-27.853394,9.060669,-12.130737,1542626106551
-27.32544,11.010742,-19.94629,1542626106551
-25.494385,5.8303833,-14.129639,1542626106609
-28.097534,12.269592,-10.334778,1542626106623
-27.731323,11.265564,-8.073425,1542626106653
-26.33667,11.022949,-11.158752,1542626106690
-27.990723,10.56366,-16.81366,1542626106712
-28.694153,11.021423,-16.63208,1542626106742
-28.935242,11.352539,-17.070007,1542626106801
-28.709412,9.812927,-16.610718,1542626106834
-29.794312,9.346008,-16.28418,1542626106862
-29.403687,5.163574,-11.854553,1542626106912
-29.943848,5.0872803,-11.669922,1542626106920
-31.687927,7.157898,-14.277649,1542626106950
-31.103516,6.8481445,-14.067078,1542626106981
-30.714417,8.280945,-15.785217,1542626107039
-31.24237,6.8893433,-15.647888,1542626107070
-31.025696,6.184387,-14.979553,1542626107100
-30.68695,6.22406,-14.84375,1542626107131
-32.12738,4.660034,-12.686157,1542626107171
-31.253052,4.962158,-15.55481,1542626107188
-30.982971,6.0653687,-15.461731,1542626107248
-30.680847,5.1467896,-16.409302,1542626107277
-29.743958,1.6189575,-12.718201,1542626107307
-27.964783,-0.440979,-11.564636,1542626107341
-30.667114,5.163574,-16.925049,1542626107369
-30.168152,5.987549,-16.534424,1542626107489
-30.078125,5.567932,-18.756104,1542626107489
-28.941345,6.314087,-19.67163,1542626107489
-29.467773,7.0510864,-19.624329,1542626107516
-29.933167,8.248901,-19.929504,1542626107639
-27.812195,5.7281494,-18.833923,1542626107639
-27.346802,5.531311,-19.343567,1542626107639
-28.793335,8.100891,-21.905518,1542626107639
-28.611755,1.234436,-17.445374,1542626107791
-25.91095,4.7927856,-15.263367,1542626107791
-26.811218,5.755615,-17.56134,1542626107791
