x,y,z,ts
-0.003703676,1.2928077,0.18357234,1544696826684
1.5967633,1.2042323,-0.42912552,1544696826712
1.4306079,1.033801,-0.626435,1544696826744
0.57784003,1.1119915,-0.51464665,1544696826777
0.39274785,1.2017888,-0.14140798,1544696826812
1.0164412,1.0631224,0.19212446,1544696826835
1.9736671,0.93545157,0.4847289,1544696826864
2.5576544,0.8871932,0.7571748,1544696826893
2.8740826,0.80411553,1.0827659,1544696826924
2.758018,0.90918434,1.0766573,1544696826954
2.9107344,0.9959272,1.2049391,1544696826986
3.3639963,1.0063119,1.2012738,1544696827013
3.6529357,0.9898185,0.9514299,1544696827048
3.4977758,0.9549992,0.6661559,1544696827073
2.9736536,1.0020359,0.36988622,1544696827106
2.3065886,1.232332,0.20800695,1544696827133
2.1532614,1.3758854,0.2526001,1544696827164
2.0927858,1.4870628,0.3582798,1544696827194
1.7690272,1.6923136,0.55864364,1544696827231
1.6279174,1.76745,0.85308063,1544696827257
1.55217,1.8425864,1.0021318,1544696827286
1.5417854,1.8639667,0.89889556,1544696827314
1.6144783,1.7253003,0.76328343,1544696827344
1.525903,1.5145518,0.57208264,1544696827373
1.5436181,1.2396625,0.47373334,1544696827404
1.4306079,1.0252488,0.5317655,1544696827434
1.2436831,0.960497,0.61606497,1544696827466
1.2559005,0.92262334,0.6936448,1544696827496
1.4660381,0.8395457,0.81093097,1544696827523
1.5295681,0.75035936,0.78832895,1544696827553
1.2332984,0.6043626,0.69303393,1544696827583
0.6480895,0.593367,0.5989607,1544696827614
0.2687422,0.6196342,0.47006816,1544696827644
0.1355736,0.60008657,0.2245003,1544696827674
0.109306395,0.50234807,0.108435914,1544696827704
-0.03302521,0.32886237,-0.11880596,1544696827734
-0.44169405,0.14071587,-0.4694426,1544696827763
-0.5119436,-0.09752158,-0.5042619,1544696827793
-0.50278056,-0.3522524,-0.55496377,1544696827825
-0.67504454,-0.5697204,-0.5574072,1544696827853
-0.9700925,-0.65401983,-0.4608905,1544696827883
-1.3182857,-0.61248094,-0.41263214,1544696827914
-1.3378334,-0.56422263,-0.2709114,1544696827943
-1.094709,-0.58438116,-0.28435043,1544696827973
-0.8082132,-0.7871884,-0.31061766,1544696828004
-0.73613113,-0.96495026,-0.22448564,1544696828032
-0.81187844,-1.0248151,-0.12857981,1544696828063
-0.99513793,-1.0266476,-0.010682812,1544696828093
-0.87907356,-0.9918283,0.002756224,1544696828125
-0.52843696,-1.0095434,-0.029008768,1544696828153
-0.29203206,-1.0119869,-0.022900116,1544696828186
-0.68237495,-0.92768747,0.0840013,1544696828213
-1.1350261,-0.7181606,0.18479407,1544696828243
-0.7654526,-0.46465158,0.0840013,1544696828274
-0.30302766,-0.3803522,-0.036950015,1544696828304
-0.37327716,-0.28383547,-0.11514077,1544696828332
-0.5321021,-0.16166243,-0.17683816,1544696828363
-0.66282725,-0.06697832,-0.2568615,1544696828393
-0.71719426,0.07229896,-0.27702004,1544696828423
-0.6658816,0.22745873,-0.23181602,1544696828452
-0.70375526,0.27205187,-0.22692911,1544696828483
-0.89190173,0.28915614,-0.23853555,1544696828514
-0.8369239,0.28671265,-0.22082046,1544696828547
-0.71413994,0.21890661,-0.17744902,1544696828574
-0.7691178,0.10589655,-0.119416825,1544696828604
-0.68298584,0.0069363746,-0.11147558,1544696828634
-0.48017856,-0.11340407,-0.1145299,1544696828663
-0.50400233,-0.20503385,-0.12491461,1544696828693
-0.6328949,-0.24229665,-0.17928162,1544696828724
-0.6567186,-0.30888095,-0.21776614,1544696828755
-0.57364094,-0.3785196,-0.29595688,1544696828786
-0.4972828,-0.41761497,-0.31061766,1544696828815
-0.55836934,-0.5495619,-0.34788042,1544696828844
-0.73674196,-0.67234576,-0.44928405,1544696828878
-0.6591621,-0.7181606,-0.41812995,1544696828904
-0.7752265,-0.7358758,-0.3765911,1544696828939
-0.84547603,-0.72732365,-0.42851466,1544696828987
-0.7123074,-0.78596675,-0.46027964,1544696828998
-0.677488,-0.88737035,-0.5732897,1544696829025
-0.85891503,-0.90142024,-0.63010013,1544696829055
-0.9578752,-0.8745422,-0.5983352,1544696829087
-1.0006357,-0.7945188,-0.49632066,1544696829116
-1.0696635,-0.6674589,-0.4413428,1544696829154
-1.1435783,-0.58438116,-0.32344583,1544696829176
-1.1936692,-0.53795546,-0.15179268,1544696829206
-1.0049118,-0.5874355,-0.17683816,1544696829236
-0.6701577,-0.6992239,-0.21349007,1544696829265
-0.5308804,-0.7877993,-0.122471154,1544696829295
