ts_start,ts_end,location
1544696826683,1544696837673,OUT
1544696837703,1544696871309,HALL
1544696871339,1544696876596,KITCHEN
1544696876623,1544697129627,DINING_ROOM
1544697129646,1544697131999,KITCHEN
1544697132027,1544697133077,HALL
1544697133110,1544697136116,MEDICINE_AREA
1544697136142,1544697229162,LIVING_ROOM
1544697229190,1544697231325,MEDICINE_AREA
1544697231352,1544697232884,HALL
1544697232915,1544697287033,KITCHEN
1544697287062,1544697295773,HALL
1544697295799,1544697310282,MEDICINE_AREA
1544697310311,1544697311853,HALL
1544697311875,1544697330134,KITCHEN
1544697330163,1544697354874,HALL
1544697354892,1544697469357,KITCHEN
1544697469381,1544697487753,HALL
