ts_start,ts_end,act
1544696836295,1544696837203,TRANSITION
1544696837232,1544696876272,SETTING_UP_TABLE
1544696876304,1544696981382,TRANSITION
1544696981408,1544696992270,EATING
1544696992301,1544697006711,TRANSITION
1544697006741,1544697007343,EATING
1544697007374,1544697007890,TRANSITION
1544697007901,1544697009294,EATING
1544697009318,1544697012837,TRANSITION
1544697012869,1544697040407,EATING
1544697040439,1544697042834,TRANSITION
1544697042869,1544697064829,EATING
1544697064852,1544697139492,TRANSITION
1544697139510,1544697326915,WATCHING_TV
1544697326943,1544697330645,TRANSITION
1544697330675,1544697481830,ANSWERING_PHONE
1544697486000,1544697486000,TRANSITION
