value,ts
1000.45233,1544696835381
1000.39374,1544696835417
1000.23193,1544696835450
1000.3882,1544696835485
1000.4906,1544696835519
1000.4906,1544696835554
1000.45447,1544696835588
1000.4381,1544696835634
1000.51575,1544696835658
1000.5923,1544696835694
1000.54596,1544696835726
1000.5617,1544696835761
1000.6545,1544696835795
1000.61725,1544696835830
1000.68933,1544696835864
1000.8391,1544696835898
1000.7312,1544696835933
1000.5275,1544696835983
1000.8226,1544696836002
1000.903,1544696836038
1000.8757,1544696836070
1000.95636,1544696836105
1000.76483,1544696836140
1000.84937,1544696836176
1000.9727,1544696836210
1000.98926,1544696836247
1000.81805,1544696836280
1000.6791,1544696836312
1000.7607,1544696836346
1000.85565,1544696836385
1000.81506,1544696836420
1000.88086,1544696836452
1000.7705,1544696836484
1000.68744,1544696836520
1000.6333,1544696836553
1000.64417,1544696836591
1000.37506,1544696836624
1000.47644,1544696836659
1000.5912,1544696836691
1000.58246,1544696836727
1000.60046,1544696836760
1000.626,1544696836798
1000.63495,1544696836841
1000.63495,1544696836870
1000.63495,1544696836899
1000.63495,1544696836938
1000.70416,1544696836966
1000.7058,1544696837005
1000.6537,1544696837037
1000.63495,1544696837072
1000.671,1544696837108
1000.6694,1544696837140
1000.6431,1544696837173
1000.7019,1544696837212
1000.75726,1544696837251
1000.7662,1544696837276
1000.71216,1544696837311
1000.66925,1544696837345
1000.64307,1544696837380
1000.671,1544696837416
1000.7055,1544696837449
1000.50616,1544696837484
1000.6173,1544696837518
1000.7317,1544696837552
1000.72314,1544696837589
1000.6963,1544696837635
1000.7235,1544696837657
1000.70404,1544696837693
1000.7052,1544696837725
1000.7137,1544696837759
1000.31665,1544696837793
1000.57825,1544696837828
1000.7523,1544696837865
1000.7399,1544696837900
1000.7399,1544696837933
1000.70514,1544696837965
1000.6692,1544696837999
1000.77924,1544696838037
1000.8679,1544696838070
1000.7126,1544696838103
1000.81464,1544696838140
1000.94556,1544696838172
1000.94495,1544696838207
1000.93677,1544696838255
1000.798,1544696838277
1000.92865,1544696838310
1001.18396,1544696838349
1001.26086,1544696838379
1000.9633,1544696838414
1000.94867,1544696838448
1000.9404,1544696838485
1001.0984,1544696838521
1001.08765,1544696838555
1000.8573,1544696838630
1000.7662,1544696838630
1000.9487,1544696838659
1001.0286,1544696838692
1001.0109,1544696838723
1000.8037,1544696838758
1000.7498,1544696838792
1000.7301,1544696838827
1000.7137,1544696838864
1000.7529,1544696838904
1000.6299,1544696838930
1000.45276,1544696838964
1000.6194,1544696838999
1000.6956,1544696839033
1000.6693,1544696839069
1000.607,1544696839102
1000.6184,1544696839137
1000.49994,1544696839173
1000.6449,1544696839206
1000.7399,1544696839240
1000.7219,1544696839275
1000.73193,1544696839309
1000.7218,1544696839345
