sensor_id,sensor_status,ts,subject_id
R2,"ON",1543848952531,"203"
R2,"OFF",1543848963175,"206"
P6,"ON",1543848967000,"203"
R7,"ON",1543848970834,"206"
R7,"OFF",1543848977277,"206"
P1,"ON",1543849001799,"201"
P5,"ON",1543849008000,"206"
P4,"ON",1543849011000,"204"
P6,"OFF",1543849108000,"203"
P1,"OFF",1543849109324,"201"
P5,"OFF",1543849110000,"206"
P4,"OFF",1543849111000,"204"
P3,"ON",1543849118000,"206"
E2,"ON",1543849121809,"206"
P8,"ON",1543849127000,"204"
P9,"ON",1543849130000,"203"
R7,"ON",1543849140991,"201"
R7,"OFF",1543849144113,"201"
P8,"OFF",1543849183000,"204"
P3,"OFF",1543849189000,"206"
R2,"ON",1543849197450,"201"
R2,"OFF",1543849198973,"201"
R5,"ON",1543849201397,"201"
R5,"OFF",1543849206195,"204"
E1,"ON",1543849225006,"204"
R1,"ON",1543849229393,"204"
R1,"OFF",1543849236103,"204"
R1,"ON",1543849246056,"204"
R1,"OFF",1543849250920,"204"
R1,"ON",1543849255353,"204"
R1,"OFF",1543849258619,"204"
R5,"ON",1543849262458,"204"
R5,"OFF",1543849265323,"204"
E1,"OFF",1543849279011,"204"
E2,"OFF",1543849318810,"203"
