x,y,z,ts
1.5681473,0.24820268,-0.46888447,1543848889745
1.9398109,0.8343959,-1.047843,1543848889777
1.7797045,1.0679487,-0.5124073,1543848889805
2.0689778,0.8550002,-0.18117142,1543848889835
2.1406486,0.5921067,-0.04722786,1543848889865
2.0970597,0.7342602,-0.16701317,1543848889897
1.6518297,0.80077195,0.11416912,1543848889926
1.085279,0.16388702,0.81112576,1543848889958
0.8732582,0.63736486,0.40242577,1543848889986
-0.018751383,0.44998825,-0.48054886,1543848890018
-0.20966303,0.88260126,0.18286324,1543848890046
0.0814569,1.4066889,-0.44422626,1543848890078
0.10016942,1.2468727,-0.19599438,1543848890107
-0.24897015,1.3076074,-0.98718643,1543848890136
-1.0100759,0.30243468,-0.23007202,1543848890167
-1.0343516,0.58676314,0.20363235,1543848890202
-1.285461,-0.08807123,0.81793594,1543848890226
-1.1263553,-0.17955184,1.1735401,1543848890257
-0.83465064,-0.37476325,0.6154051,1543848890288
-0.32914788,-1.0514705,-0.5177307,1543848890316
0.036884785,-0.47940028,-0.2992735,1543848890347
0.40984464,0.009343624,-0.45675373,1543848890379
0.77665067,0.6377783,-0.9065819,1543848890406
0.73045325,0.5725112,-0.5679674,1543848890439
0.81284046,0.6951674,0.059453964,1543848890466
1.0735765,0.7865392,0.21660042,1543848890497
0.4030037,0.78065157,0.47587013,1543848890527
-0.57843083,0.603598,0.41114616,1543848890556
-0.68084306,0.44904983,0.19701862,1543848890587
-0.39804667,0.0014919043,0.016926765,1543848890616
-0.6267115,-0.13106167,-0.076646805,1543848890646
-0.6633642,-0.25364769,-0.35202122,1543848890678
-0.6041967,-0.2437948,-0.41974258,1543848890707
-0.548354,-0.53165126,-0.5219145,1543848890737
-0.36430764,-0.41807234,-0.2689047,1543848890768
-0.09010661,-0.07652509,-0.41086864,1543848890796
-0.11668956,0.026366234,-0.40843582,1543848890827
-0.18078512,0.008289456,-0.41366196,1543848890856
-0.1207453,-0.030856848,-0.34282207,1543848890887
-0.1277901,-0.18039298,-0.06523895,1543848890916
-0.008709669,-0.12545371,0.05533886,1543848890947
-0.0046379566,0.034446597,-0.026805878,1543848890979
0.03052628,0.1755178,-0.23833084,1543848891006
0.13663769,0.19274533,-0.029929161,1543848891035
0.36060727,0.12493634,-0.08169556,1543848891067
0.30730164,0.14081228,-0.20475578,1543848891096
0.24055552,0.09169352,-0.16694736,1543848891129
0.1194545,0.06885314,-0.061213493,1543848891157
0.0394938,-0.06662023,-0.10238552,1543848891186
-0.107536435,0.017409444,-0.22574425,1543848891219
-0.3674968,0.013913035,-0.17993641,1543848891246
-0.38598317,-0.008328319,-0.12935734,1543848891277
-0.36007053,-0.08387649,-0.0016813278,1543848891307
-0.23839116,-0.06172192,0.045000076,1543848891338
-0.014552951,-0.037868142,-0.0046072006,1543848891366
0.039534688,-0.06420481,0.23616695,1543848891419
0.15350294,0.002015233,-0.069420815,1543848891437
-0.27220267,0.42298853,-0.31189632,1543848891457
-0.26842827,-0.070675135,0.25614738,1543848891496
0.040964127,0.026687622,0.11588955,1543848891516
-0.28219527,0.18561947,-0.4440775,1543848891550
-0.06563842,-0.105297804,-0.20855331,1543848891578
0.08214569,-0.06688213,-0.27519608,1543848891608
-0.088164926,-0.047991514,-0.21546555,1543848891635
0.014371514,-0.09749603,-0.19774628,1543848891666
-0.014752388,-0.036910534,-0.2979355,1543848891697
-0.07435012,-0.0039889812,-0.2905159,1543848891728
-0.044483423,-0.02405715,-0.23014355,1543848891755
0.021696687,0.022650719,-0.100767136,1543848891787
-0.08973694,0.009185791,-0.079937935,1543848891818
-0.0063596964,0.008517265,-0.14202976,1543848891846
0.105110645,-0.01883769,0.028390884,1543848891879
0.22524679,-0.0037481785,-0.12607574,1543848891907
0.21853054,0.07323599,-0.16146183,1543848891937
0.19601357,0.057396412,-0.20470142,1543848891966
0.24290872,0.06920242,-0.22094154,1543848891996
0.16632485,-0.049467564,-0.19891453,1543848892026
0.055054426,0.04841423,-0.17677593,1543848892056
0.07174003,0.041487932,-0.16603756,1543848892085
0.024336934,0.01646638,-0.10393715,1543848892116
-0.03928888,0.023026466,-0.059412956,1543848892145
-0.023236275,-0.0012807846,0.10367584,1543848892176
0.076966405,-0.08838749,0.2502575,1543848892209
0.008036017,0.11066866,-0.06250858,1543848892238
-0.098210335,0.26596212,-0.28940964,1543848892267
-0.061300278,0.28812885,-0.26681995,1543848892296
-0.04054296,0.24216723,-0.25819683,1543848892329
-0.09606564,0.021899462,-0.032366753,1543848892356
-0.026065111,-0.18770981,0.028428078,1543848892388
-0.063010335,-0.21657777,-0.13814831,1543848892419
-0.33153236,0.055719614,-0.19469166,1543848892448
-0.21361876,-0.030966997,-0.094594955,1543848892477
-0.16587412,-0.09541249,-0.15075302,1543848892507
-0.24906719,-0.09048343,-0.049349785,1543848892540
0.012764096,0.010160923,-0.12252045,1543848892568
0.104665756,0.072131395,-0.06541443,1543848892596
0.08917236,0.13065696,0.010702133,1543848892627
0.054857373,0.077741146,0.038266182,1543848892659
0.11280298,0.15850854,-0.13627529,1543848892689
0.28270328,0.21005452,-0.5281086,1543848892716
0.06497133,0.13688707,-0.4300251,1543848892747
-0.070252776,0.10813236,-0.08349514,1543848892778
0.055218935,0.012151003,-0.21663952,1543848892808
-0.009592295,0.014621973,-0.18465233,1543848892837
-0.06899595,-0.025787354,-0.12050915,1543848892885
-0.07559419,-0.0674479,-0.11670494,1543848892897
-0.08538413,-0.023857594,-0.19032288,1543848892936
0.006699443,-0.07495499,-0.050538063,1543848892957
0.049043417,0.041030645,-0.18427181,1543848892992
0.011758685,0.050356388,-0.12777233,1543848893017
0.048748255,0.14784491,-0.19108295,1543848893047
0.09155834,0.025339365,-0.12520123,1543848893078
0.15999925,0.028536081,-0.45677662,1543848893108
0.26712477,0.013211966,-0.24643421,1543848893142
0.19934165,0.2175498,-0.09083176,1543848893169
-0.3572247,0.015517712,0.11945057,1543848893197
-0.31271207,-0.038475752,-0.10484123,1543848893228
-0.22298539,0.026370764,-0.06376457,1543848893259
0.19031191,-0.085775375,-0.11847401,1543848893294
0.24244869,0.078746796,-0.22123337,1543848893318
-0.08876848,0.16414559,-0.19138527,1543848893350
-0.049142003,0.06356609,-0.15699482,1543848893378
0.06949079,-0.017807007,-0.042653084,1543848893409
-0.016986609,-0.025981426,-0.009352684,1543848893442
-0.03180909,0.046361446,-0.03720188,1543848893469
0.18301356,0.0545969,-0.25255966,1543848893499
0.11006224,0.01984787,-0.32551003,1543848893530
-0.15092993,0.042985678,-0.24257088,1543848893562
-0.039252877,0.11862147,-0.18693256,1543848893590
0.24159384,0.10981166,0.030394554,1543848893621
0.13568819,0.048104763,0.014029503,1543848893649
-0.024416327,0.017151833,0.024762154,1543848893678
-0.16603458,0.08685112,-0.15029716,1543848893709
-0.1233089,0.07499409,-0.13889217,1543848893741
-0.013314128,0.09792435,-0.1588955,1543848893770
-0.055422783,-0.015111685,-0.072179794,1543848893800
0.12107587,-0.025679827,-0.2904358,1543848893833
-0.026718497,0.3890617,-0.5322628,1543848893860
-0.27734125,-0.06464195,0.20364094,1543848893892
0.08179593,-0.11361766,0.2897253,1543848893920
0.20085454,-0.1074059,-0.081466675,1543848893949
0.09656191,0.065182686,-0.35946846,1543848893980
-0.12128675,0.07502866,-0.27695465,1543848894010
0.029878616,0.11296511,-0.22039032,1543848894043
0.096478105,0.10839343,-0.2665558,1543848894071
-0.010635138,0.024353504,-0.23727608,1543848894101
-0.14308608,-0.07966781,-0.14060688,1543848894130
0.018099308,-0.029835463,0.005625725,1543848894161
0.09157622,0.40149665,-0.714159,1543848894193
-0.21945298,0.474648,-0.5101547,1543848894222
-0.11013472,-0.27346516,0.5044861,1543848894251
0.20535457,-0.43524003,0.57134724,1543848894280
0.32590628,-0.026935339,-0.38547707,1543848894313
-0.22929823,0.12014794,-0.33242512,1543848894343
-0.21585906,-0.0068204403,0.08871269,1543848894371
0.008503556,0.046309948,-0.012290001,1543848894405
-0.022945046,0.07899892,-0.2660408,1543848894429
-0.14720571,0.06714594,-0.15651512,1543848894475
-0.054047227,0.0724082,-0.14286041,1543848894492
-0.038088202,0.07728529,-0.11619663,1543848894527
0.034724593,0.0949502,-0.1203661,1543848894573
-0.10023725,-0.11551285,-0.12425327,1543848894582
-0.06906152,-0.3482635,0.10127449,1543848894612
0.05755496,0.23413956,-0.028881073,1543848894645
-0.0025026798,0.41355455,-0.22338486,1543848894670
0.09215295,0.047426224,0.005133629,1543848894700
0.103220224,-0.033750772,-0.038467407,1543848894734
0.026519775,0.076904655,-0.13544655,1543848894770
0.05615127,0.15406609,-0.17270088,1543848894792
-0.008328199,0.15886831,-0.13191414,1543848894820
-0.124313116,0.11607182,-0.016153336,1543848894851
-0.15087366,0.072503924,-0.012605667,1543848894880
-0.08938074,0.2699741,0.13394642,1543848894913
-0.11203396,0.22078145,-0.1851244,1543848894942
-0.18912923,0.103874564,0.056583405,1543848894973
-0.15892076,-0.1930331,-0.024336815,1543848895003
-0.08007467,-0.20217645,-0.1021204,1543848895032
0.12677991,-0.06110096,-0.33840275,1543848895063
0.034659028,0.037969947,-0.3278303,1543848895092
0.07010031,-0.013059378,-0.38989735,1543848895123
0.095223665,0.011658788,-0.43320847,1543848895153
0.03867781,-0.006312728,-0.37335873,1543848895186
-0.042293906,-0.13825917,-0.31288433,1543848895212
-0.039338708,-0.060006022,-0.4089775,1543848895242
-0.006450534,0.07381666,-0.19124126,1543848895272
-0.03175938,0.06593788,-0.19233227,1543848895308
-0.081638575,0.12720037,-0.21015263,1543848895332
-0.080558896,0.15081322,0.14617825,1543848895362
0.038844347,0.0452857,0.12812042,1543848895392
-0.014944911,-0.008736849,-0.09521961,1543848895422
-0.14477134,0.12238181,0.07269287,1543848895454
0.011034846,0.15489674,0.010422707,1543848895484
-0.027766943,0.08875573,-0.20771694,1543848895514
-0.037450194,0.045924425,-0.071326256,1543848895543
0.07232416,0.09954858,-0.20341396,1543848895573
-0.045141578,-0.018366098,-0.24740505,1543848895604
-0.18784177,0.033503294,-0.09555149,1543848895633
-0.16050148,-0.060423374,-0.077786446,1543848895662
-0.17230177,-0.036420107,-0.006286621,1543848895693
0.00020968914,0.22307229,-0.33548164,1543848895723
-0.086778045,0.013663769,-0.1875906,1543848895757
0.043267727,0.009792805,-0.002503395,1543848895783
-0.030553818,-0.025637627,-0.090200424,1543848895816
0.019065142,0.0828594,-0.058179855,1543848895843
-0.0085452795,0.06603992,-0.23129272,1543848895874
