x,y,z,ts
3.869298,9.670055,-2.742134,1544019090308
2.744298,9.670055,-2.804634,1544019090308
4.619298,9.295055,-2.804634,1544019090335
3.119298,10.045055,-2.804634,1544019090367
2.369298,9.670055,-2.742134,1544019090367
3.119298,10.420055,-2.804634,1544019090397
3.494298,9.295055,-2.367134,1544019090429
3.119298,10.420055,-2.367134,1544019090429
3.119298,9.295055,-2.367134,1544019090457
2.744298,9.670055,-2.367134,1544019090489
2.744298,10.045055,-2.367134,1544019090489
2.744298,8.920055,-3.992134,1544019090517
2.369298,10.420055,-2.804634,1544019090548
3.119298,8.920055,-2.804634,1544019090548
2.369298,9.670055,-3.992134,1544019090595
2.744298,9.670055,-3.179634,1544019090609
3.119298,9.295055,-2.804634,1544019090609
2.369298,8.545055,-3.179634,1544019090639
3.119298,9.295055,-2.804634,1544019090670
2.744298,9.670055,-3.179634,1544019090671
3.119298,8.545055,-3.617134,1544019090699
2.369298,9.670055,-3.179634,1544019090736
2.744298,10.045055,-3.179634,1544019090736
3.494298,10.420055,-3.992134,1544019090760
2.369298,8.920055,-2.742134,1544019090792
2.744298,9.670055,-3.179634,1544019090792
3.119298,8.545055,-3.179634,1544019090822
3.119298,10.045055,-3.617134,1544019090853
2.369298,9.295055,-2.804634,1544019090853
3.494298,10.045055,-3.179634,1544019090883
2.744298,9.670055,-3.179634,1544019090913
3.119298,9.670055,-3.617134,1544019090913
3.119298,9.670055,-3.617134,1544019090944
3.119298,9.295055,-3.179634,1544019090974
3.869298,9.670055,-1.9296341,1544019090974
2.744298,9.670055,-2.367134,1544019091003
2.744298,9.670055,-2.742134,1544019091034
2.744298,9.670055,-2.804634,1544019091034
3.119298,9.670055,-3.617134,1544019091064
3.494298,9.670055,-1.5546341,1544019091095
3.494298,10.045055,-1.9296341,1544019091095
2.369298,10.045055,-1.9296341,1544019091124
3.119298,9.670055,-1.5546341,1544019091157
2.369298,9.670055,-1.1171341,1544019091157
2.744298,10.045055,-1.5546341,1544019091185
3.119298,9.295055,-0.7421341,1544019091220
3.869298,9.670055,-0.3046341,1544019091220
2.369298,9.295055,0.9453659,1544019091248
2.369298,9.670055,1.3203659,1544019091278
3.494298,9.670055,0.5078659,1544019091278
2.744298,10.045055,2.570366,1544019091308
2.744298,10.045055,0.1328659,1544019091339
2.369298,8.920055,2.132866,1544019091339
2.369298,9.670055,3.007866,1544019091367
2.369298,9.670055,2.570366,1544019091399
3.494298,10.045055,3.007866,1544019091399
2.744298,9.670055,3.007866,1544019091428
2.369298,10.045055,3.382866,1544019091459
2.744298,9.295055,4.632866,1544019091459
2.744298,9.670055,4.195366,1544019091489
1.619298,10.045055,5.070366,1544019091520
1.994298,10.045055,3.820366,1544019091520
2.369298,10.045055,2.570366,1544019091549
2.369298,9.295055,3.382866,1544019091581
2.744298,9.295055,3.007866,1544019091581
1.994298,9.295055,4.257866,1544019091610
2.744298,9.670055,4.195366,1544019091642
2.369298,10.045055,5.070366,1544019091642
1.994298,9.670055,4.195366,1544019091671
2.369298,9.670055,4.632866,1544019091702
2.369298,9.295055,5.070366,1544019091702
2.369298,9.295055,4.195366,1544019091730
1.994298,9.295055,3.820366,1544019091763
2.369298,9.670055,3.007866,1544019091763
2.744298,9.295055,3.007866,1544019091824
3.119298,9.670055,4.195366,1544019091824
2.744298,10.045055,3.820366,1544019091824
2.369298,9.670055,3.382866,1544019091851
1.994298,9.670055,3.007866,1544019091884
1.994298,9.670055,4.257866,1544019091884
3.494298,9.670055,3.820366,1544019091912
3.494298,9.295055,3.820366,1544019091946
3.119298,9.295055,3.382866,1544019091946
3.119298,9.295055,3.382866,1544019091977
3.119298,10.045055,2.945366,1544019092006
3.494298,9.670055,1.7578659,1544019092006
3.119298,10.045055,1.7578659,1544019092035
3.119298,10.045055,3.007866,1544019092067
2.369298,10.045055,1.3203659,1544019092067
2.369298,10.045055,1.3203659,1544019092099
2.744298,10.045055,1.3203659,1544019092128
2.744298,10.420055,1.7578659,1544019092128
2.744298,9.670055,1.3203659,1544019092155
2.369298,10.045055,0.5078659,1544019092190
2.369298,10.045055,0.5078659,1544019092190
2.744298,9.295055,0.5078659,1544019092218
3.119298,10.420055,0.1328659,1544019092249
3.119298,10.045055,0.070365906,1544019092249
2.744298,10.045055,0.5078659,1544019092279
2.744298,9.295055,-0.3046341,1544019092312
2.744298,9.295055,-0.3046341,1544019092312
2.369298,10.045055,0.070365906,1544019092339
2.369298,10.045055,-0.7421341,1544019092371
2.744298,10.045055,0.070365906,1544019092371
2.744298,10.045055,-0.7421341,1544019092402
2.369298,9.670055,-1.1171341,1544019092430
2.744298,10.045055,-1.1171341,1544019092430
2.369298,9.295055,0.070365906,1544019092461
2.369298,10.045055,-1.1171341,1544019092493
3.119298,9.670055,-1.5546341,1544019092493
2.369298,10.045055,-0.7421341,1544019092521
1.994298,10.045055,-1.5546341,1544019092554
2.369298,9.670055,-1.1171341,1544019092554
2.744298,10.045055,-0.7421341,1544019092582
3.494298,10.045055,-1.9296341,1544019092616
3.119298,10.045055,-0.7421341,1544019092616
3.494298,9.295055,-1.5546341,1544019092641
3.119298,9.670055,-0.7421341,1544019092673
3.119298,9.670055,-2.367134,1544019092673
3.119298,10.420055,-1.5546341,1544019092702
2.744298,9.670055,-2.804634,1544019092739
3.119298,9.670055,-1.9921341,1544019092739
3.494298,10.045055,-2.804634,1544019092764
2.744298,9.670055,-1.9921341,1544019092796
2.744298,10.045055,-1.9921341,1544019092796
2.744298,10.420055,-2.367134,1544019092826
1.994298,9.670055,-2.367134,1544019092856
2.744298,9.670055,-2.367134,1544019092857
2.744298,8.920055,-1.5546341,1544019092885
2.744298,8.170055,-2.804634,1544019092920
2.369298,9.670055,-1.5546341,1544019092920
1.994298,9.295055,-0.7421341,1544019092947
1.244298,8.545055,-2.367134,1544019092976
1.619298,9.295055,-0.7421341,1544019092976
1.244298,8.545055,-0.3046341,1544019093006
